	logFC	logCPM	PValue	FDR
genes: STsORF61	-0.08	3.11	0.96	0.98
genes: STsORF244	-1.54	4.46	0.11	0.22
genes: STsORF221	-1.03	3.89	0.41	0.56
genes: STsORF52	1.08	4.18	0.09	0.19
genes: STsORF73	7.12	10.48	0.0	0.0
genes: STsORF177	0.87	3.23	0.42	0.57
genes: STsORF80	-0.63	10.65	0.51	0.64
genes: STsORF222	-1.7	5.64	0.21	0.34
genes: STsORF157	0.71	3.71	0.51	0.64
genes: STsORF160	-0.56	6.07	0.31	0.46
genes: STsORF166	-2.79	3.62	0.41	0.56
genes: STsORF199	0.44	3.3	0.68	0.79
genes: STsORF232	-3.37	2.77	0.29	0.44
genes: STsORF4	0.81	4.77	0.5	0.64
genes: STsORF24	0.06	2.96	0.96	0.98
genes: STsORF36	0.0	5.62	0.99	1.0
genes: STsORF62	2.11	4.15	0.09	0.18
genes: STsORF84	-0.92	3.29	0.39	0.54
genes: STsORF129	-1.5	7.62	0.0	0.0
genes: STsORF178	3.19	4.34	0.05	0.12
genes: STsORF204	0.75	4.04	0.31	0.46
genes: STsORF214	8.38	5.02	0.0	0.0
genes: STsORF246	1.99	5.96	0.01	0.02
genes: STsORF47	-0.27	4.33	0.75	0.84
genes: STsORF139	3.48	3.87	0.14	0.25
genes: STsORF229	-2.63	5.34	0.0	0.0
genes: STsORF241	1.75	7.49	0.0	0.0
genes: STsORF247	-1.07	6.45	0.0	0.01
genes: STsORF15	0.19	3.93	0.92	0.95
genes: STsORF64	1.91	5.9	0.0	0.0
genes: STsORF128	-0.8	3.51	0.52	0.65
genes: STsORF208	-0.27	3.67	0.81	0.89
genes: STsORF126	-2.11	3.99	0.12	0.23
genes: STsORF141	-0.88	4.53	0.15	0.27
genes: STsORF176	-0.76	3.28	0.46	0.6
genes: STsORF195	-0.06	3.67	0.96	0.98
genes: STsORF77	0.23	4.68	0.71	0.81
genes: STsORF95	-0.41	4.55	0.8	0.88
genes: STsORF167	-0.45	3.78	0.65	0.77
genes: STsORF196	-1.88	4.87	0.01	0.03
genes: STsORF144	1.18	3.66	0.44	0.59
genes: STsORF225	3.09	2.79	0.07	0.15
genes: STsORF56	4.44	3.6	0.05	0.11
genes: STsORF183	1.68	3.69	0.17	0.3
genes: STsORF53	1.07	4.4	0.06	0.14
genes: STsORF117	0.91	4.78	0.19	0.32
genes: STsORF120	1.98	6.26	0.0	0.0
genes: STsORF122	5.48	2.36	0.01	0.03
genes: STsORF18	0.32	4.65	0.66	0.77
genes: STsORF41	-1.09	4.09	0.18	0.31
genes: STsORF68	6.18	9.51	0.0	0.0
genes: STsORF94	0.78	4.19	0.68	0.78
genes: STsORF233	-1.1	10.31	0.0	0.0
genes: STsORF23	-2.01	4.4	0.52	0.66
genes: STsORF48	0.71	6.58	0.04	0.11
genes: STsORF124	-1.71	5.34	0.07	0.15
genes: STsORF150	-2.01	4.47	0.01	0.04
genes: STsORF203	1.69	5.41	0.0	0.01
genes: STsORF224	-0.17	4.17	0.85	0.91
genes: STsORF228	-0.89	4.76	0.15	0.28
genes: STsORF16	2.39	3.56	0.03	0.08
genes: STsORF22	3.6	3.0	0.02	0.06
genes: STsORF90	3.15	3.05	0.07	0.15
genes: STsORF119	-0.03	4.49	0.97	0.98
genes: STsORF220	3.42	6.01	0.0	0.0
genes: STsORF91	3.37	4.87	0.0	0.0
genes: STsORF134	-0.23	6.87	0.75	0.84
genes: STsORF174	-2.47	6.73	0.0	0.0
genes: STsORF138	-1.12	6.97	0.06	0.14
genes: STsORF212	6.63	6.55	0.0	0.0
genes: STsORF250	1.61	3.1	0.46	0.6
genes: STsORF169	0.41	4.55	0.47	0.61
genes: STsORF185	1.27	4.95	0.05	0.12
