locus tag	logFC	logCPM	PValue	FDR
STsORF61	-0,61	3,11	0,72	0,80
STsORF244	-0,50	4,46	0,49	0,60
STsORF221	1,14	3,89	0,14	0,24
STsORF52	-0,02	4,18	0,97	0,99
STsORF73	7,34	10,48	0,00	0,00
STsORF177	-0,47	3,23	0,71	0,79
STsORF80	0,13	10,65	0,88	0,92
STsORF222	-2,19	5,64	0,09	0,16
STsORF157	1,30	3,71	0,13	0,22
STsORF160	-1,40	6,07	0,02	0,04
STsORF166	-2,80	3,62	0,33	0,46
STsORF199	1,29	3,30	0,13	0,22
STsORF232	2,16	2,77	0,07	0,14
STsORF4	2,79	4,77	0,00	0,00
STsORF24	-5,26	2,96	0,02	0,06
STsORF36	-0,30	5,62	0,52	0,63
STsORF62	2,54	4,15	0,02	0,04
STsORF84	-2,13	3,29	0,06	0,12
STsORF129	-1,27	7,62	0,00	0,00
STsORF178	4,10	4,34	0,00	0,01
STsORF204	-0,44	4,04	0,58	0,68
STsORF214	7,12	5,02	0,00	0,00
STsORF246	2,55	5,96	0,00	0,00
STsORF47	-1,69	4,33	0,10	0,17
STsORF139	-0,01	3,87	1,00	1,00
STsORF229	-2,14	5,34	0,00	0,00
STsORF241	0,30	7,49	0,36	0,48
STsORF247	-1,63	6,45	0,00	0,00
STsORF15	-3,33	3,93	0,23	0,35
STsORF64	1,73	5,90	0,00	0,00
STsORF128	-1,32	3,51	0,27	0,39
STsORF208	0,68	3,67	0,43	0,55
STsORF126	0,74	3,99	0,33	0,45
STsORF141	-0,87	4,53	0,12	0,21
STsORF176	-0,86	3,28	0,36	0,48
STsORF195	1,77	3,67	0,04	0,09
STsORF77	-0,72	4,68	0,25	0,37
STsORF95	0,56	4,55	0,64	0,73
STsORF167	0,24	3,78	0,76	0,83
STsORF196	-1,69	4,87	0,01	0,02
SL1344_2548	0,66	2,96	0,67	0,76
STsORF144	2,53	3,66	0,02	0,05
STsORF225	2,01	2,79	0,27	0,39
STsORF56	0,01	3,60	1,00	1,00
STsORF183	1,17	3,69	0,33	0,45
STsORF53	0,26	4,40	0,65	0,75
STsORF117	1,32	4,78	0,03	0,06
STsORF120	3,01	6,26	0,00	0,00
STsORF122	3,09	2,36	0,20	0,32
STsORF18	0,22	4,65	0,73	0,81
STsORF41	-1,33	4,09	0,08	0,16
STsORF68	6,61	9,51	0,00	0,00
STsORF94	0,26	4,19	0,88	0,92
STsORF233	-1,64	10,31	0,00	0,00
SL1344_P1_0100	-1,11	7,47	0,00	0,00
STsORF23	1,96	4,40	0,24	0,36
STsORF48	0,67	6,58	0,04	0,09
STsORF124	-1,06	5,34	0,18	0,28
STsORF150	-2,11	4,47	0,00	0,01
STsORF203	1,65	5,41	0,00	0,01
STsORF224	-0,38	4,17	0,66	0,75
STsORF228	-1,31	4,76	0,03	0,08
STsORF16	2,95	3,56	0,00	0,01
STsORF22	2,83	3,00	0,08	0,15
STsORF90	4,07	3,05	0,00	0,01
STsORF119	0,40	4,49	0,60	0,70
STsORF220	4,39	6,01	0,00	0,00
SL1344_0463	5,07	8,72	0,00	0,00
STsORF91	4,38	4,87	0,00	0,00
STsORF134	-0,69	6,87	0,34	0,46
STsORF174	-5,73	6,73	0,00	0,00
SL1344_0001	-0,47	10,11	0,03	0,07
SL1344_0114	0,21	9,86	0,52	0,63
STsORF138	-0,87	6,97	0,10	0,18
STsORF212	4,97	6,55	0,00	0,00
STsORF250	2,53	3,10	0,13	0,22
SL1344_1722	1,30	3,20	0,19	0,30
SL1344_P2_0001	-0,06	7,04	0,87	0,92
STsORF169	-1,32	4,55	0,06	0,12
STsORF185	2,03	4,95	0,00	0,00
STsORF235	-0,12	6,21	0,77	0,84
STsORF49	-0,70	7,80	0,01	0,02
STsORF67	6,76	8,54	0,00	0,00
STsORF85	-1,48	4,10	0,19	0,30
STsORF106	1,82	8,10	0,00	0,00
STsORF109	0,03	3,57	1,00	1,00
STsORF17	-1,04	5,05	0,12	0,20
STsORF69	-0,08	5,43	0,87	0,91
STsORF86	0,51	6,90	0,13	0,23
STsORF88	-0,60	5,91	0,15	0,25
STsORF145	2,39	5,68	0,00	0,00
SL1344_3763	1,76	9,45	0,00	0,00
STsORF25	0,19	3,83	0,81	0,87
STsORF105	-0,65	4,83	0,37	0,49
STsORF164	-4,74	4,51	0,00	0,00
STsORF236	9,33	5,67	0,00	0,00
SL1344_0354	0,50	4,97	0,27	0,39
SL1344_4392	-0,47	3,38	0,65	0,74
STsORF39	-2,40	5,38	0,00	0,00
STsORF55	-0,38	3,54	0,71	0,79
STsORF63	-0,83	9,90	0,01	0,02
STsORF237	1,18	5,57	0,01	0,03
STsORF11	-1,11	3,64	0,49	0,60
STsORF42	0,71	4,25	0,31	0,44
STsORF72	6,19	6,82	0,00	0,00
STsORF135	-1,04	3,84	0,35	0,47
STsORF197	-0,29	4,70	0,61	0,71
STsORF242	-3,28	4,96	0,00	0,00
SL1344_0724	-0,11	6,13	0,81	0,87
SL1344_3386	-0,23	9,36	0,44	0,57
STsORF130	-5,11	3,04	0,03	0,06
STsORF198	0,04	4,45	0,94	0,96
SL1344_4408	-0,49	6,26	0,19	0,30
STsORF82	1,55	4,18	0,07	0,14
STsORF143	1,45	4,43	0,08	0,15
STsORF70	0,63	7,74	0,04	0,09
STsORF156	1,66	10,00	0,00	0,01
STsORF44	1,31	9,16	0,00	0,00
STsORF89	5,77	7,92	0,00	0,00
STsORF179	-4,90	10,97	0,00	0,00
SL1344_0696	4,43	2,97	0,04	0,08
SL1344_3063	-0,59	5,08	0,27	0,39
SL1344_3209	1,78	3,83	0,06	0,12
SL1344_P2_0054	-1,41	10,90	0,00	0,00
STsORF57	4,00	5,57	0,00	0,00
SL1344_0709	-0,33	5,43	0,51	0,63
SL1344_1738	0,69	5,27	0,17	0,27
STsORF19	1,46	4,13	0,04	0,08
STsORF190	3,62	6,98	0,00	0,00
SL1344_4526	1,11	3,96	0,17	0,28
STsORF40	-0,11	6,71	0,73	0,80
STsORF45	0,49	3,93	0,68	0,77
SL1344_1495	0,16	6,67	0,62	0,72
SL1344_1767	0,35	10,35	0,13	0,23
SL1344_1769	2,21	8,30	0,00	0,00
STsORF115	-2,77	7,45	0,00	0,00
SL1344_4212	-1,39	3,53	0,21	0,33
SL1344_4273	-2,49	9,68	0,00	0,00
SL1344_0757	-1,90	7,81	0,01	0,03
SL1344_1203	-2,18	4,04	0,12	0,20
SL1344_3134	-2,64	7,59	0,00	0,00
STsORF7	-4,32	9,53	0,00	0,00
STsORF162	-0,56	4,44	0,39	0,51
STsORF58	-0,26	4,05	0,82	0,88
STsORF121	1,61	3,49	0,12	0,21
STsORF209	0,47	3,48	0,67	0,76
SL1344_1579	0,64	3,79	0,43	0,55
STsORF83	-1,31	5,11	0,04	0,08
STsORF113	-0,33	3,27	0,76	0,83
SL1344_1794	7,06	7,99	0,00	0,00
SL1344_2780	-1,39	5,59	0,01	0,02
STsORF51	0,41	6,39	0,24	0,36
STsORF223	-6,11	3,87	0,00	0,01
SL1344_1927	-0,61	5,14	0,54	0,65
STsORF248	-0,53	7,08	0,10	0,18
SL1344_1783	5,70	9,51	0,00	0,00
SL1344_3360	-0,72	5,29	0,27	0,39
SL1344_4452	7,51	7,73	0,00	0,00
STsORF191	1,79	3,87	0,05	0,11
SL1344_0473	1,46	3,63	0,14	0,23
SL1344_1006	-0,43	7,66	0,13	0,23
SL1344_1059	3,12	5,95	0,00	0,00
SL1344_1802	-0,49	4,65	0,42	0,54
SL1344_1989	-0,44	4,88	0,50	0,62
SL1344_3438	-0,23	4,99	0,72	0,80
SL1344_3693	-1,18	8,47	0,01	0,03
STsORF14	0,32	4,67	0,64	0,73
STsORF43	1,40	6,82	0,00	0,00
SL1344_1031	-0,14	3,74	0,91	0,94
SL1344_3447	-2,01	4,26	0,02	0,05
STsORF158	-1,46	2,72	0,37	0,50
SL1344_1128	-1,48	9,69	0,00	0,00
SL1344_1737	-1,50	5,26	0,01	0,03
STsORF101	-1,04	7,42	0,00	0,00
STsORF202	-1,69	3,37	0,28	0,41
SL1344_2257	-0,18	4,65	0,78	0,85
SL1344_4272	-0,86	4,43	0,33	0,46
STsORF187	-1,37	3,62	0,40	0,52
SL1344_1629	1,63	3,47	0,21	0,33
SL1344_1752	-0,79	6,35	0,03	0,07
SL1344_3389	-0,58	9,45	0,05	0,10
STsORF100	-1,20	6,28	0,00	0,01
STsORF107	4,00	4,81	0,00	0,00
STsORF168	-0,44	6,34	0,37	0,49
SL1344_0924	-1,46	5,62	0,00	0,01
SL1344_1207	0,48	4,88	0,48	0,59
SL1344_1443	-0,30	4,52	0,62	0,72
SL1344_1659	0,91	4,69	0,19	0,30
SL1344_1797	5,16	7,63	0,00	0,00
STsORF93	0,46	3,92	0,54	0,65
STsORF123	-1,55	2,85	0,31	0,43
