	logFC	logCPM	PValue	FDR
STsORF61	-0.61	3.11	0.72	0.8
STsORF244	-0.5	4.46	0.49	0.6
STsORF221	1.14	3.89	0.14	0.24
STsORF52	-0.02	4.18	0.97	0.99
STsORF73	7.34	10.48	0.0	0.0
STsORF177	-0.47	3.23	0.71	0.79
STsORF80	0.13	10.65	0.88	0.92
STsORF222	-2.19	5.64	0.09	0.16
STsORF157	1.3	3.71	0.13	0.22
STsORF160	-1.4	6.07	0.02	0.04
STsORF166	-2.8	3.62	0.33	0.46
STsORF199	1.29	3.3	0.13	0.22
STsORF232	2.16	2.77	0.07	0.14
STsORF4	2.79	4.77	0.0	0.0
STsORF24	-5.26	2.96	0.02	0.06
STsORF36	-0.3	5.62	0.52	0.63
STsORF62	2.54	4.15	0.02	0.04
STsORF84	-2.13	3.29	0.06	0.12
