locus_tag	common gene name	strand	start	end	Anaerobic growth	Aerobic shock
SL1344_0001	thrL	+	169	255	5142	2344
SL1344_0002	thrA	+	337	2799	12	20
SL1344_0003	thrB	+	2801	3730	39	47
SL1344_0004	thrC	+	3734	5020	42	53
SL1344_0005	yaaA	-	5114	5887	45	42
SL1344_0006	yaaJ	-	5966	7396	12	13
SL1344_0007	talB	+	7665	8618	449	405
SL1344_0008	mog	+	8729	9319	36	31
SL1344_0009	yaaH	-	9376	9942	7	8
SL1344_0010	htgA	-	10092	10805	2	2
SL1344_0011	yaaI	-	10841	11245	7	5
SL1344_0012	dnaK	+	11593	13509	86	374
tpke11		+	13507	13591	51	160
SL1344_0013	dnaJ	+	13595	14734	46	151
STnc890		+	14720	14783	142	208
SL1344_0014		+	15014	15961	3	10
SL1344_0015		+	16088	16432	6	5
SL1344_0016		-	16493	17026	0	1
STnc3200		-	16493	16445	46	22
STnc3210		+	17025	17111	14	41
SL1344_0017		-	17043	17486	1	1
SL1344_0018	chiA	+	18083	19966	4	9
SL1344_0019		+	20058	23054	3	3
SL1344_0020		+	23335	24039	2	2
SL1344_0021	bcfA	+	24469	25011	5	5
SL1344_0022	bcfB	+	25112	25798	2	1
SL1344_0023	bcfC	+	25803	28424	1	2
SL1344_0024	bcfD	+	28425	29432	2	4
SL1344_0025	bcfE	+	29433	29978	1	2
SL1344_0026	bcfF	+	29994	30512	2	3
SL1344_0027	bcfG	+	30505	31209	4	2
SL1344_0028	bcfH	+	31274	32119	7	8
SL1344_0029		+	32116	32445	8	11
SL1344_0030		-	32545	32994	0	1
SL1344_0031		+	33364	34368	3	3
SL1344_0032		-	34376	34816	1	2
SL1344_0033		+	35339	37057	7	6
SL1344_0034		-	37103	38674	10	15
SL1344_0035		-	38773	39534	1	1
SL1344_0036		+	40131	41624	9	12
STnc1010		+	41629	41708	314	170
SL1344_0037		+	41723	42913	4	5
SL1344_0038		+	42932	44185	2	4
SL1344_0039		+	44312	46027	13	18
SL1344_0040	nhaA	+	46190	47356	47	335
SL1344_0041	nhaR	+	47418	48317	49	322
SL1344_0042		-	48372	50411	2	4
SL1344_0043		-	50451	51824	1	1
SL1344_0044	rpsT	-	52280	52543	825	3176
SL1344_0045	yaaY	+	52649	52864	30	51
SL1344_0046	ribF	+	52872	53810	73	151
SL1344_0047	ileS	+	53855	56689	53	117
SL1344_0048	lspA	+	56689	57189	133	195
SL1344_0049	fkpB	+	57344	57793	60	128
SL1344_0050	ispH	+	57796	58746	52	86
SL1344_0051		+	58946	60148	19	20
SL1344_0052	rihC	+	60164	61084	24	25
SL1344_0053	citB2	-	61106	61792	7	6
SL1344_0054	citA2	-	61794	63413	7	9
STnc3220		+	61807	62034	80	48
SL1344_0055		-	63548	64849	0	0
SL1344_0056		-	64862	66637	0	0
SL1344_0057	oadG	-	66654	66893	0	0
STnc3090		+	66916	67048	6	8
STnc4160		-	67051	66912	53	54
SL1344_0058		-	67052	68392	1	1
SL1344_0059	citC2	+	68637	69683	1	2
SL1344_0060	citD2	+	69713	70006	0	1
SL1344_0061	citE2	+	70003	70872	1	1
SL1344_0062	citF2	+	70883	72403	1	1
SL1344_0063	citX2	+	72403	72954	1	2
SL1344_0064	citG2	+	72947	73840	2	2
SL1344_0065	dapB	+	74020	74841	95	126
DapZ		+	74847	74924	11138	16345
STnc3230		-	75015	74894	122	165
SL1344_0066A		+	75091	75438	2	6
SL1344_0067	carA	+	75883	77031	2	16
SL1344_0068	carB	+	77050	80277	5	14
SL1344_0069	caiF	+	80551	80946	183	9
SL1344_0070	caiE	-	81023	81619	1	2
SL1344_0071	caiD	-	81728	82513	2	2
SL1344_0072	caiC	-	82567	84120	3	5
SL1344_0073	caiB	-	84183	85454	4	3
SL1344_0074	caiA	-	85512	86654	7	5
SL1344_0075	caiT	-	86689	88206	1	0
SL1344_0076	fixA	+	88687	89457	2	3
SL1344_0077	fixB	+	89473	90414	1	1
SL1344_0078	fixC	+	90464	91750	1	1
SL1344_0079	fixX	+	91747	92034	4	1
SL1344_0080	yaaU	+	92181	93521	7	7
SL1344_0081		+	93610	93840	24	63
SL1344_0082		+	94134	94550	17	28
STnc470		-	94741	94653	137	137
SL1344_0083		-	94774	95064	22	27
STnc4170		+	95102	95188	97	93
SL1344_0083A		-	95134	95226	11	20
SL1344_0084		+	95962	97851	6	7
SL1344_0085		-	98056	98121	2	7
SL1344_0086	yabF	+	98258	98788	13	18
SL1344_0087	kefC	+	98781	100643	8	13
SL1344_0088	folA	+	100842	101321	33	90
SL1344_0089	apaH	-	101427	102275	55	58
STnc3240		-	101483	101322	102	77
SL1344_0090	apaG	-	102286	102663	83	124
SL1344_0091	ksgA	-	102666	103487	119	152
SL1344_0092	pdxAa	-	103484	104473	244	181
SL1344_0093	surA	-	104473	105759	92	124
SL1344_0094	imp	-	105813	108173	76	117
SL1344_0095	djlA	+	108427	109239	46	41
STnc4180		-	109322	109243	44	81
SL1344_0096	rluA	-	109334	109993	7	32
SL1344_0097	hepA	-	110005	112911	6	26
SL1344_0098	polB	-	113085	115436	10	12
SL1344_0099		-	115480	116100	16	15
SL1344_0099A		-	116195	116254	0	0
SL1344_0100		+	116819	117238	2	5
SL1344_0101	araD	-	117244	117939	10	5
SL1344_0102	araA	-	118080	119582	1	2
SL1344_0103	araB	-	119593	121302	1	0
SL1344_0104	araC	+	121643	122488	7	8
SL1344_0105	yabI	+	122607	123374	5	42
SL1344_0106	thiQ	-	123413	124120	7	12
SL1344_0107	thiP	-	124104	125714	7	17
SL1344_0108	tbpA	-	125690	126673	11	26
SroA		-	126802	126713	8197	5255
SL1344_0109	yabN	-	126851	128509	6	9
SgrS		+	128577	128808	597	407
SL1344_0109A	sgrT	+	128602	128724	0	0
SL1344_0110	leuD	-	129060	129665	5	8
SL1344_0111	leuC	-	129676	131076	3	6
SL1344_0112	leuB	-	131079	132170	4	11
SL1344_0113	leuA	-	132170	133741	2	4
SL1344_0114	leuL	-	133829	133915	2484	1401
SL1344_0115	leuO	+	134572	135516	1	2
SL1344_0116	ilvI	+	135901	137562	8	10
SL1344_0117	ilvH	+	137565	138056	21	31
STnc1500		-	138274	138100	99	109
SL1344_0118	fruR	+	138340	139344	68	59
SL1344_0119	mraZ	+	139950	140408	249	415
SL1344_0120	mraW	+	140410	141351	168	235
SL1344_0121	ftsL	+	141348	141713	167	200
SL1344_0122	ftsI	+	141729	143495	356	271
SL1344_0123	murE	+	143482	144969	86	147
SL1344_0124	murF	+	144966	146324	71	118
SL1344_0125	mraY	+	146318	147400	76	124
SL1344_0126	murD	+	147403	148719	102	140
SL1344_0127	ftsW	+	148806	149963	61	107
SL1344_0128	murG	+	149960	151027	92	129
SL1344_0129	murC	+	151146	152621	81	142
SL1344_0130	ddl	+	152614	153534	188	263
SL1344_0131	ftsQ	+	153536	154366	134	238
SL1344_0132	ftsA	+	154363	155625	133	257
SL1344_0133	ftsZ	+	155686	156837	153	277
SL1344_0134	lpxC	+	156938	157855	397	708
SL1344_0135	yacA	+	158203	158631	48	61
SL1344_0136	secA	+	158693	161398	48	74
SL1344_0137	mutT	+	161550	161945	9	42
SL1344_0138	yacG	-	162267	162458	45	78
SL1344_0139	yacF	-	162468	163211	29	56
SL1344_0140	coaE	-	163211	163831	46	64
SL1344_0141	guaC	+	164057	165100	100	94
SL1344_0142	pilC	-	165131	166333	1	1
SL1344_0143	pilB	-	166323	167708	1	0
SL1344_0144	pilA	-	167718	168155	0	0
SL1344_0145	nadC	-	168377	169123	15	21
SL1344_0146	ampD	+	169358	169921	27	27
SL1344_0147	ampE	+	169918	170772	46	32
SL1344_0148		-	170864	171814	7	8
SL1344_0149		-	171814	173220	2	3
SL1344_0150	aroP	-	173384	174757	8	17
SL1344_0151	pdhR	+	175320	176084	305	385
tp2		-	176242	176086	3	2
SL1344_0152	aceE	+	176244	178907	309	782
SL1344_0153	aceF	+	178922	180811	394	931
SL1344_0154	lpdA	+	181011	182435	365	1055
SL1344_0155		+	182724	183008	5	14
SL1344_0156		-	183046	183837	2	1
SL1344_0157	yacH	-	183850	185464	3	2
SL1344_0159	acnB	+	185853	188450	82	335
SL1344_0160		-	188511	189353	111	146
SL1344_0161	yacL	+	189599	189961	64	71
SL1344_0162	kdgT	+	190196	191149	4	5
SL1344_0163		+	191146	192417	4	6
SL1344_0164	pdxAb	+	192407	193390	29	29
SL1344_0165		+	193400	194167	72	58
SL1344_0166	speD	-	194197	194991	5	95
SL1344_0167	speE	-	195012	195872	9	59
SL1344_0168	yacC	-	195979	196326	68	83
SL1344_0169	cueO	+	196528	198138	11	19
SL1344_0170	gcd	-	198216	200606	18	64
SL1344_0171	hpt	+	200812	201348	63	120
SL1344_0172	yadF	-	201406	202068	58	205
SL1344_0173	yadG	+	202177	203103	14	29
SL1344_0174	yadH	+	203100	203870	10	24
SL1344_0175	stiH	-	203987	205066	4	4
SL1344_0176	stiC	-	205075	207621	1	1
SL1344_0177	stiB	-	207648	208331	0	1
SL1344_0178	stiA	-	208379	208918	3	4
SL1344_0179	yadI	+	209289	209729	59	4
SL1344_0180	yadE	+	209791	211020	17	17
STnc4190		-	209971	209868	32	26
SL1344_0181	panD	-	211027	211407	87	161
SL1344_0182	panC	-	211502	212356	21	40
SL1344_0183	panB	-	212482	213273	17	30
SL1344_0184	folK	-	213394	213873	10	33
SL1344_0185	pcnB	-	213870	215288	34	141
SL1344_0186	yadB	-	215429	216370	16	47
SL1344_0187	dksA	-	216394	216849	193	712
SL1344_0188	sfsA	-	217026	217730	66	77
SL1344_0189	ligT	-	217747	218277	48	49
SL1344_0190	hrpB	+	218305	220779	20	34
SL1344_0191	mrcB	+	220920	223442	41	63
STnc3250		-	223676	223451	20	43
SL1344_0192	fhuA	+	223735	225924	6	45
SL1344_0193	fhuC	+	225973	226770	2	22
SL1344_0194	fhuD	+	226770	227660	3	17
SL1344_0195	fhuB	+	227657	229714	2	11
SL1344_0196	stfA	+	230653	231213	1	3
SL1344_0197	stfC	+	231299	233956	3	2
SL1344_0198	stfD	+	233974	234726	0	1
SL1344_0199	stfE	+	234790	235257	1	1
SL1344_0200	stfF	+	235254	235730	3	3
SL1344_0201	stfG	+	235730	236260	1	1
SL1344_0202		+	236260	237099	13	11
STnc1510		+	237091	237187	187	77
SL1344_0203	hemL	-	237207	238487	43	60
SL1344_0204	clcA	+	238657	240078	37	43
SL1344_0205	yadR	+	240160	240504	157	519
SL1344_0206	yadS	-	240605	241228	6	15
SL1344_0207	btuF	-	241265	242065	14	28
SL1344_0208	mtn	-	242058	242756	28	49
SL1344_0209	dgt	+	243051	244358	22	33
SL1344_0210	htrA	+	244488	245915	43	58
STnc3100		+	245838	245954	142	136
SL1344_0211	cdaR	+	246068	247225	3	3
SL1344_0212	yaeH	-	247314	247700	337	399
SL1344_0213		+	248223	249248	14	18
STnc3110		+	249153	249274	88	104
SL1344_0214	dapD	-	249285	250109	141	188
SL1344_0215	glnD	-	250139	252811	15	21
SL1344_0216	map	-	253048	253842	55	87
t44		+	254126	254264	379	1568
SL1344_0217	rpsB	+	254293	255018	219	1295
SL1344_0218	tsf	+	255276	256127	136	665
SL1344_0219	pyrH	+	256272	256997	44	164
SL1344_0220	frr	+	257144	257701	307	497
sRNA1		+	257725	257790	812	507
SL1344_0221	dxr	+	257842	259038	34	64
STnc920		+	259116	259164	239	351
SL1344_0222	uppS	+	259351	260109	47	134
SL1344_0223	cdsA	+	260122	260979	41	96
SL1344_0224	yaeL	+	260991	262343	104	213
SL1344_0225	yaeT	+	262375	264789	129	274
SL1344_0226	hlpA	+	264912	265397	345	563
SL1344_0227	lpxD	+	265401	266426	159	339
SL1344_0228	fabZ	+	266532	266987	91	228
SL1344_0229	lpxA	+	266991	267779	80	181
SL1344_0230	lpxB	+	267779	268927	39	89
SL1344_0231	rnhB	+	268924	269520	33	84
SL1344_0232	dnaE	+	269544	273026	34	89
SL1344_0233	accA	+	273039	273998	44	152
SL1344_0234		+	274178	275941	12	15
SL1344_0235	ldcC	+	276017	278158	21	34
SL1344_0236	yaeR	+	278214	278603	42	75
SL1344_0237	mesJ	+	278747	279958	23	33
SL1344_0238	rof	-	280042	280296	430	267
SL1344_0239	yaeP	-	280289	280507	351	247
SL1344_0240	yaeQ	+	280687	281232	19	29
SL1344_0241	yaeJ	+	281229	281651	70	76
SL1344_0242	cutF	+	281683	282384	48	63
SL1344_0243	proS	-	282458	284176	34	90
SL1344_0244	yaeB	-	284287	284994	31	66
SL1344_0245	rcsF	-	284991	285395	64	117
SL1344_0246	metQ	-	285514	286329	97	154
SL1344_0247	yaeE	-	286368	287021	35	55
SL1344_0248	abc	-	287014	288045	26	47
SL1344_0249	yaeD	+	288235	288801	40	61
SL1344_0250	dkgB	+	295060	295863	6	14
SL1344_0251	yafC	-	295884	296798	4	4
SL1344_0252		+	296903	298078	2	4
SL1344_0253	yafD	+	298231	299010	66	50
SL1344_0254	yafE	+	299088	299858	24	16
SL1344_0255	dniR	-	299914	301281	58	291
SL1344_0256	gloB	-	301353	302108	12	15
SL1344_0257	yafS	+	302143	302865	18	19
SL1344_0258	rnhA	-	302862	303329	25	39
SL1344_0259	dnaQ	+	303393	304124	32	48
SL1344_0260	sciA	-	304656	305711	4	4
SL1344_0261	sciB	-	305722	306717	2	4
SL1344_0262	sciC	-	306714	308597	2	5
SL1344_0263	sciD	-	308613	309107	6	4
SL1344_0264	sciE	-	309104	309928	3	4
SL1344_0265	sciF	-	309915	310817	2	1
SL1344_0266	sciG	+	311185	313824	1	3
SL1344_0267	sciH	+	313924	314466	1	3
SL1344_0268	sciI	+	314490	315983	2	1
SL1344_0270	sciJ	+	316169	316615	1	4
SL1344_0271	sciK	+	316869	317354	0	1
SL1344_0272		+	317659	318144	4	4
SL1344_0273		+	318129	318512	1	2
SL1344_0274	sciK1	+	318655	319140	1	2
SL1344_0275	sciN	+	319207	319743	0	1
SL1344_0276	sciO	+	319747	321090	1	1
SL1344_0277	sciP	+	321087	322391	1	2
SL1344_0278	sciQ	+	322396	323169	2	3
SL1344_0279	sciR	+	323372	323803	2	3
SL1344_0280	sciS	+	323837	327706	2	3
SL1344_0281	sciT	+	327706	328494	2	5
SL1344_0282	sciU	+	328491	328907	2	5
SL1344_0283	sciV	+	328931	329452	5	6
SL1344_0284	vgrS	+	329849	332038	1	2
SL1344_0285	sciW	+	332062	332508	0	1
SL1344_0286		+	332521	336123	9	15
SL1344_0286A		+	336117	336380	65	124
SL1344_0286B		+	336396	337313	36	46
SL1344_0288	sciX	+	337307	337753	17	32
SL1344_0289	sciY	+	338265	338753	2	3
IsrA		+	339238	338816	0	0
SL1344_0291		+	339522	339830	3	7
SL1344_0292		-	339867	340180	1	3
SL1344_0293		+	340233	340373	5	9
SL1344_0294		+	340510	340975	0	1
SL1344_0295	safA	+	341687	342199	13	14
SL1344_0296	safB	+	342307	343020	3	7
SL1344_0297	safC	+	343044	345554	6	9
SL1344_0298	safD	+	345576	346046	6	9
SL1344_0299	ybeJ	+	346452	347273	3	5
SL1344_0300	sinR	+	348088	349035	27	148
SL1344_0301		+	349152	349367	6	46
SL1344_0302	pagN	-	349371	350090	25	36
SL1344_0303	sciZ	-	350421	350828	15	13
STnc1030		+	350892	351095	10	7
STnc1040		-	351100	351053	6	5
SL1344_0304	yafV	-	351199	351966	21	26
SL1344_0305	fadE	-	352075	354519	9	12
SL1344_0306	gmhA	+	354759	355337	84	78
SL1344_0307	yafJ	+	355550	356317	37	49
SL1344_0308	yafK	-	356288	357028	31	86
SL1344_0309	dbh	+	357278	358333	11	24
SL1344_0310		+	358540	359684	8	13
SL1344_0311	prfH	+	359681	360295	8	7
SL1344_0312	pepD	-	360451	361908	125	115
SL1344_0313	gpt	+	362157	362615	28	89
SL1344_0314	frsA	+	362704	363948	41	62
SL1344_0315	crl	+	364006	364407	134	347
SL1344_0316	phoE	-	364458	365510	9	6
SL1344_0317	proB	+	365793	366896	37	59
SL1344_0318	proA	+	366908	368158	29	58
SL1344_0319		-	368675	369475	1	1
SL1344_0320	dhaF	+	369393	370107	1	1
SL1344_0322		+	370217	370540	425	51
SL1344_0323		+	370836	372119	1	1
SL1344_0324	leuC2	+	372251	373465	1	2
SL1344_0325	leuD2	+	373674	374300	2	2
SL1344_0326		+	374315	375193	2	5
SL1344_0327		+	375193	376107	7	7
STnc3270		+	376115	376194	46	41
SL1344_0328		+	376141	377106	5	10
SL1344_0329		-	377051	377323	17	24
SL1344_0330		+	378014	378412	2	4
SL1344_0331	stbE	-	378459	379217	7	7
SL1344_0332	stbD	-	379183	380508	4	7
SL1344_0333	stbC	-	380513	383080	3	4
SL1344_0334	stbB	-	383064	383825	1	0
SL1344_0335	stbA	-	383887	384423	0	0
SL1344_0336		+	385057	385821	55	104
SL1344_0337		+	385794	386294	11	42
STnc1700		+	386381	386476	88	132
SL1344_0338		+	386594	388168	8	12
SL1344_0339		+	388268	389011	34	45
SL1344_0340		+	388984	389472	22	31
SL1344_0341		+	389874	390398	1	2
SL1344_0342		+	390542	391183	1	4
SL1344_0343		+	391194	391418	2	3
SL1344_0344		+	391476	391835	4	7
SL1344_0345		-	391905	393362	1	1
SL1344_0346		-	393379	396546	1	1
SL1344_0347		-	396543	397553	0	1
SL1344_0348		+	398046	400334	1	3
SL1344_0349		+	400346	400810	3	4
SL1344_0350		+	400888	401082	25	16
SL1344_0351		+	401375	402628	6	17
SL1344_0352	mod	+	402817	404775	14	36
SL1344_0353	res	+	404782	407757	13	33
SL1344_0354		+	408034	408135	55	261
SL1344_0355		+	408252	409655	11	71
SL1344_0356		+	409652	410662	24	78
SL1344_0357		+	410679	410903	11	25
SL1344_0358		+	410999	412003	10	16
SL1344_0359	foxA	+	412149	414257	5	6
SL1344_0360	yahN	-	414298	414930	66	23
SL1344_0361	yahO	+	415162	415437	62	92
SL1344_0362	prpR	-	415573	417198	3	29
SL1344_0363	prpB	+	417463	418350	1	4
STnc3280		-	418463	418391	70	56
SL1344_0364	prpC	+	418473	419642	2	3
SL1344_0365	prpD	+	419682	421133	1	3
SL1344_0366	prpE	+	421174	423060	2	3
SL1344_0367	hemB	-	423164	424138	39	49
SL1344_0368	yaiU	+	424651	427587	23	24
SL1344_0369	yaiV	+	427673	428296	24	21
SL1344_0370	ampH	-	428341	429471	13	19
SL1344_0371	sbmA	+	429947	431065	12	16
SL1344_0372	yaiW	+	431080	432174	16	19
SL1344_0373	yaiY	-	432212	432520	9	13
SL1344_0374	yaiZ	+	432788	433003	121	76
SL1344_0375	ddlA	-	433029	434123	24	44
SL1344_0376		+	434201	434914	9	11
SL1344_0377		+	435083	436294	4	8
SL1344_0378	yaiB	+	436585	436851	345	358
STnc4150		-	437082	436953	45	59
SL1344_0379	psiF	+	437203	437523	97	76
SL1344_0380	adrA	+	437615	438727	14	17
SL1344_0381	proC	-	438742	439551	40	40
SL1344_0382	yaiI	+	439691	440146	20	24
SL1344_0383	aroL	+	440331	440876	31	45
SL1344_0384	yaiA	+	440903	441094	94	191
SL1344_0385	aroM	+	441345	442022	22	38
SL1344_0386	yaiE	+	442093	442377	139	111
SL1344_0387	rdgC	-	442415	443326	26	44
SL1344_0388	yajF	+	443452	444360	26	33
SL1344_0389	araJ	-	444382	445554	9	10
SL1344_0390	sbcC	-	445727	448867	6	14
SL1344_0391	sbcD	-	448864	450066	6	14
SL1344_0392	phoB	+	450281	450970	51	75
SL1344_0393	phoR	+	451040	452335	19	28
SL1344_0394	brnQ	+	452744	454063	57	75
SL1344_0395	proY	+	454138	455508	13	24
SL1344_0396	malZ	+	455670	457487	6	9
SL1344_0397	tsaA	-	457559	458161	271	467
SL1344_0398	yajB	-	458371	458952	109	67
SL1344_0399	queA	+	459046	460110	12	43
SL1344_0400	tgt	+	460307	461434	43	134
SL1344_0401	yajC	+	461457	461789	144	369
SL1344_0402	secD	+	461817	463664	73	207
SL1344_0403	secF	+	463675	464646	56	153
SL1344_0404		+	464794	465159	19	21
SL1344_0405		+	465185	465877	10	10
SL1344_0406	yajD	+	466047	466394	116	64
STnc1060		-	466783	466718	2230	1850
SL1344_0407	tsx	-	467023	467886	88	74
SL1344_0408	yajI	-	468186	468725	11	19
SL1344_0409	nrdR	+	468877	469326	122	171
SL1344_0410	ribD	+	469330	470433	62	73
SL1344_0411	ribH	+	470522	470992	109	238
SL1344_0412	nusB	+	471013	471432	285	357
SL1344_0413	thiL	+	471511	472488	23	55
SL1344_0414	pgpA	+	472466	472981	28	44
SL1344_0415	yajO	-	473085	474059	24	22
SL1344_0416	dxs	-	474116	475978	36	65
SL1344_0417	ispA	-	476002	476901	59	78
SL1344_0418	xseB	-	476902	477144	85	133
SL1344_0419	thiI	+	477354	478802	15	42
SL1344_0420	phnV	-	478846	479643	7	5
SL1344_0421	phnU	-	479646	480506	2	1
SL1344_0422	phnT	-	480509	481618	5	4
SL1344_0423	phnS	-	481624	482568	7	4
SL1344_0424	phnR	-	482835	483554	8	9
SL1344_0425	phnW	+	483694	484797	2	1
SL1344_0426	phnX	+	484804	485616	1	1
SL1344_0427	thiJ	-	485713	486303	38	35
SL1344_0428	apbA	-	486266	487177	34	43
SL1344_0429	yajQ	+	487285	487794	88	172
SL1344_0430	yajR	-	487841	489205	17	31
SL1344_0430A		-	489507	489698	7	11
SL1344_0431		+	489742	491253	3	14
SL1344_0432		+	491475	492758	6	17
SL1344_0433	cyoE	-	492840	493730	31	819
SL1344_0434	cyoD	-	493742	494071	31	765
SL1344_0435	cyoC	-	494071	494586	18	517
SL1344_0436	cyoB	-	494675	496666	14	574
SL1344_0437	cyoA	-	496677	497633	20	859
SL1344_0438	ampG	-	498086	499561	8	47
SL1344_0439	yajG	-	499605	500237	29	96
SL1344_0440	bolA	+	500487	500804	154	352
SL1344_0441	tig	+	501151	502449	93	448
SL1344_0442	clpP	+	502696	503319	147	272
SL1344_0443	clpX	+	503571	504842	286	449
SraA		-	504976	504870	15	27
SL1344_0444	lon	+	505028	507382	85	206
SL1344_0445	hupB	+	507591	507863	2031	1567
SL1344_0446	cypD	+	508154	510025	53	105
SL1344_0447	comE1	+	510175	510549	6	5
SL1344_0448	ybaW	+	510653	511051	6	8
SL1344_0449	ybaX	-	511157	511852	35	38
SL1344_0450	ybaE	-	511917	513617	2	2
SL1344_0451	cof	+	513718	514536	16	7
STnc930		+	514484	514578	145	64
SL1344_0452		-	514586	515641	8	8
SL1344_0453	ybaO	+	515754	516212	23	61
SL1344_0454	mdlA	+	516253	518025	12	28
SL1344_0455	mdlB	+	518018	519799	12	21
SL1344_0456	glnK	+	520012	520350	1	1
SL1344_0457	amtB	+	520382	521668	6	5
SL1344_0458	tesB	-	521768	522628	19	31
SL1344_0459	ybaY	+	522843	523412	198	330
SL1344_0460	ybaZ	-	523445	523756	96	54
4.5S		+	523912	524027	38602	22025
SL1344_0461	ylaB	-	524065	525615	25	24
SL1344_0462	rpmE2	+	525840	526100	15	9
SL1344_0463	rpmJa	+	526163	526246	56	58
SL1344_0464	ylaC	-	526302	526772	16	108
SL1344_0465	maa	-	526889	527440	73	122
SL1344_0466	hha	-	527619	527837	139	363
SL1344_0467	ybaJ	-	527865	528239	175	321
SL1344_0468	acrB	-	528735	531884	59	165
SL1344_0469	acrA	-	531907	533100	56	149
SL1344_0470	acrR	+	533242	533895	34	62
SL1344_0471	aefA	+	534014	537376	22	38
SL1344_0472		-	537418	538353	38	33
SL1344_0473	ybaM	-	538423	538590	13	32
SL1344_0474	priC	-	538604	539119	15	25
SL1344_0476	apt	+	539730	540281	23	98
SL1344_0477	dnaX	+	540395	542323	96	112
SL1344_0478	ybaB	+	542369	542698	68	122
SL1344_0479	recR	+	542698	543303	97	171
SL1344_0480	htpG	+	543414	545288	43	239
STnc3130		-	545385	545302	211	142
SL1344_0481	adk	+	545529	546173	59	217
SL1344_0482	hemH	+	546402	547364	47	52
SL1344_0483	aes	-	547361	548332	2	2
SL1344_0484	gsk	+	548485	549789	9	27
SL1344_0485	ybaL	-	549838	551514	25	106
SL1344_0486	fsr	-	551729	552949	7	12
SL1344_0487	ushA	+	553122	554774	31	51
SL1344_0488	ybaK	-	554891	555370	51	53
ChiX		+	555450	555566	44753	35185
SL1344_0489	ybaP	-	555572	556366	21	26
SL1344_0490		-	556452	557279	13	11
SL1344_0491	copA	-	557433	559934	22	22
SL1344_0492	cueR	+	560044	560460	60	54
SL1344_0493	ybbJ	-	560461	560913	33	18
SL1344_0494	ybbK	-	560910	561827	32	31
SL1344_0495	ybbL	+	561974	562651	15	14
SL1344_0496	ybbM	+	562638	563417	21	17
SL1344_0497	ybbN	-	563503	564357	24	94
SL1344_0498	ybbO	-	564417	565187	17	28
SL1344_0499	tesA	-	565342	565956	21	29
SL1344_0500	ybbA	+	565927	566613	6	19
SL1344_0501	ybbP	+	566610	569024	16	21
STnc950		+	569023	569074	46	56
SL1344_0502		+	569210	570343	12	14
SL1344_0503	sfbA	+	570600	571430	14	16
SL1344_0504	sfbB	+	571467	572483	9	14
SL1344_0505	sfbC	+	572476	573135	15	15
SL1344_0506	ybbB	-	573174	574268	44	26
SL1344_0507	ybbS	-	574338	575264	4	4
