Sequence name	locus tag	Name	Start	End	Strand	28°C	42°C	Aerobic shaking	bile salts	deoxycholic acid	Gentamicin	peroxide	pH 6	Starvation
NC_004663.1	BT_0001	BT_0001	93	710	+	-3,5639942693	0,2590215737	0,2993258448	-4,1484347176	-3,983809614	-2,389052925	-0,0746005133	-0,1474446352	2,4137429881
NC_004663.1	BT_0002	BT_0002	783	1778	+	-2,9473558495	-1,029051038	0,2771344986	-3,5378267127	-3,730335278	-2,6752595984	-0,1228463185	-0,2540076738	0,4288019561
NC_004663.1	BT_0003	BT_0003	1872	2648	+	-3,1968396698	-0,1756452138	0,7256977393	-2,4998586781	-1,684368574	-0,6218485239	0,7596098494	-0,1712107226	-0,8117581122
NC_004663.1	BT_0004	BT_0004	2783	3451	+	-2,9808465066	-0,5704890496	-0,2964224731	-2,8280168974	-3,7826815446	-1,4036040712	-0,3039501836	-0,7056247459	-0,4439918054
NC_004663.1	BT_0005	BT_0005	3460	3996	+	-2,932839402	-1,4967169656	-0,1117234254	-3,3885578907	-4,9434318728	-1,8439479571	-0,0972036476	-0,0689520686	0,7763600149
NC_004663.1	BT_0006	BT_0006	4088	4534	+	-2,7300552218	-0,4161758744	0,3560193311	-2,4286595268	-5,1559709067	-1,600974769	0,4744622644	-0,7555993154	-0,277450054
NC_004663.1	BT_0008	BT_0008	4958	5503	+	-0,6189830955	-0,0325394953	0,0640128298	1,2731084115	-0,876670513	-0,5477999367	0,1146016205	-0,1474257094	0,4287749482
NC_004663.1	BT_0009	BT_0009	5632	6741	+	-1,4646288343	-0,4296496319	0,0659277636	-0,8172042779	-0,9908041951	-0,7326049134	-0,1660370582	-0,3385865827	-0,6183685081
NC_004663.1	BT_0010	BT_0010	6796	7869	+	-1,8905309366	-0,5614798858	-0,0572343552	-0,3921991139	-1,0198624422	-0,5704082011	-0,2913777567	-0,5726993912	-0,3238061664
NC_004663.1	BT_0011	BT_0011	8075	8923	+	-1,6128494272	-0,2558988664	-1,0745479548	-0,872074638	-1,3995837064	0,1116831956	-0,1828799666	-0,6258211277	-0,6972666014
NC_004663.1	BT_0012	BT_0012	8983	10149	+	-1,5839529408	0,0328236326	-1,056690442	-0,5751839784	-1,0846303178	-0,3867581667	-0,2082138087	-0,3475904599	-0,1946426363
NC_004663.1	BT_0013	BT_0013	10181	10723	+	-2,1666616456	0,3949259565	-0,300721369	0,6163806687	-0,8807980375	0,6577414211	0,4108921947	-0,644441164	-0,1048037877
