	SP TEX (Biological replicate 2)	SP TEX (Biological replicate 1)	SP TEX (Biological replicate 3)	SP (Biological replicate 2)	SP (Biological replicate 1)	SP (Biological replicate 3)	ML (Biological replicate 3)	ML (Biological replicate 1)	ML (Biological replicate 2)	EL (Biological replicate 2)	EL (Biological replicate 1)	EL (Biological replicate 3)	ML TEX (Biological replicate 3)	ML TEX (Biological replicate 1)	ML TEX (Biological replicate 2)	EL TEX(Biological replicate 3)	EL TEX (Biological replicate 1)	EL TEX (Biological replicate 2)
('1075594', 'Locus_Tag: BT_0230', 'Strand: -', 'Start: 250714', 'End: 252072')	0	0.092700689	0	0	0	0	0.175652305	0	0.321221789	0.194267629	0.096937559	0	0.083957365	0.158924096	0.080303104	0	0.258673542	0
('1072790', 'Locus_Tag: BT_0097', 'Strand: -', 'Start: 89417', 'End: 89854')	0	0	0	0	0	0	0	0	0.332222535	0	0	0	0	0	0	0	0.066883056	0
('1072840', 'Locus_Tag: BT_0119', 'Strand: -', 'Start: 109828', 'End: 110271')	0	0.283739271	0.278273299	0	0.258859396	0	0	0	0.655466083	0	0	0	0.28033921100000003	0	0.553033373	0	0	0
('1072746', 'Locus_Tag: BT_0093', 'Strand: -', 'Start: 85435', 'End: 87939')	0	0.050291512000000003	0.049322693	0.050078831	0	0	0	0	0.05808921	0	0	0	0	0.043109351	0.043565636	0	0	0
('1074974', 'Locus_Tag: BT_0292', 'Strand: +', 'Start: 341115', 'End: 341864')	0	0.503920946	0	0	0	0	0.159140989	0.17103527100000002	0.388035921	0.176006472	0	0	0.152130745	0	0	0	0	0
('1072709', 'Locus_Tag: BT_0077', 'Strand: +', 'Start: 74493', 'End: 74999')	0	0.24848172899999998	0	0	0	0	0.470831328	0.506021511	0.28700881699999997	0.260364604	0	0	0	0	0	0.255764012	0	0.228212663
('1074979', 'Locus_Tag: BT_0298', 'Strand: +', 'Start: 350578', 'End: 351639')	0	0	0.116340249	0	0.14429827	0	0.224775408	0.24157524100000002	0.274036667	0.248596712	0.24809443	1.090812649	0.214873934	0.406737941	0.205521504	0.610510142	0.44135259600000004	0
('1073990', 'Locus_Tag: BT_0112', 'Strand: -', 'Start: 104093', 'End: 104998')	0.156522333	0	0.409117036	0.13846299199999998	0.5074329879999999	0.286479861	0	0	0	0.291401444	0.145406338	0.639317347	0.125936047	0.238386144	0.180681985	0.286252438	0	0.38312523200000004
('1074959', 'Locus_Tag: BT_0225', 'Strand: -', 'Start: 245298', 'End: 245891')	0.9549443320000001	1.484615581	1.6640181109999999	1.9007192590000002	3.095853786	0.6554311970000001	3.2149694689999997	12.30935662	9.06397038	63.78012308	70.97004308	58.50722392	3.073348385	5.99938463	6.062884381	37.98483104	37.28426365	34.86697604
('1074958', 'Locus_Tag: BT_0224', 'Strand: -', 'Start: 244852', 'End: 245256')	0.350146255	0.362906031	0.355914985	0	0.283786597	0.352476332	3.2417608810000003	3.1673198310000004	3.952217715	49.5425625	38.38296496	44.04943881	1.5025258769999998	2.133114535	2.6946152810000004	25.027298000000002	23.77337587	26.37856636
