locus_tag	common gene name	strand	start	end	25C
SL1344_0001	thrL	+	169	255	1021
SL1344_0002	thrA	+	337	2799	8
SL1344_0003	thrB	+	2801	3730	19
SL1344_0004	thrC	+	3734	5020	22
SL1344_0005	yaaA	-	5114	5887	25
SL1344_0006	yaaJ	-	5966	7396	21
SL1344_0007	talB	+	7665	8618	212
SL1344_0008	mog	+	8729	9319	66
SL1344_0009	yaaH	-	9376	9942	80
SL1344_0010	htgA	-	10092	10805	2
SL1344_0011	yaaI	-	10841	11245	8
SL1344_0012	dnaK	+	11593	13509	138
tpke11		+	13507	13591	74
SL1344_0013	dnaJ	+	13595	14734	85
STnc890		+	14720	14783	94
SL1344_0014		+	15014	15961	12
SL1344_0015		+	16088	16432	5
SL1344_0016		-	16493	17026	1
STnc3200		-	16493	16445	14
STnc3210		+	17025	17111	8
SL1344_0017		-	17043	17486	1
SL1344_0018	chiA	+	18083	19966	2
SL1344_0019		+	20058	23054	1
SL1344_0020		+	23335	24039	2
SL1344_0021	bcfA	+	24469	25011	2
SL1344_0022	bcfB	+	25112	25798	1
SL1344_0023	bcfC	+	25803	28424	2
SL1344_0024	bcfD	+	28425	29432	2
SL1344_0025	bcfE	+	29433	29978	1
SL1344_0026	bcfF	+	29994	30512	1
SL1344_0027	bcfG	+	30505	31209	3
SL1344_0028	bcfH	+	31274	32119	5
SL1344_0029		+	32116	32445	5
SL1344_0030		-	32545	32994	1
SL1344_0031		+	33364	34368	4
SL1344_0032		-	34376	34816	2
SL1344_0033		+	35339	37057	3
SL1344_0034		-	37103	38674	3
SL1344_0035		-	38773	39534	0
SL1344_0036		+	40131	41624	2
STnc1010		+	41629	41708	61
SL1344_0037		+	41723	42913	4
SL1344_0038		+	42932	44185	1
SL1344_0039		+	44312	46027	5
SL1344_0040	nhaA	+	46190	47356	40
SL1344_0041	nhaR	+	47418	48317	45
SL1344_0042		-	48372	50411	3
SL1344_0043		-	50451	51824	1
SL1344_0044	rpsT	-	52280	52543	12481
SL1344_0045	yaaY	+	52649	52864	72
SL1344_0046	ribF	+	52872	53810	141
SL1344_0047	ileS	+	53855	56689	95
SL1344_0048	lspA	+	56689	57189	206
SL1344_0049	fkpB	+	57344	57793	114
SL1344_0050	ispH	+	57796	58746	109
SL1344_0051		+	58946	60148	19
SL1344_0052	rihC	+	60164	61084	19
SL1344_0053	citB2	-	61106	61792	3
SL1344_0054	citA2	-	61794	63413	3
STnc3220		+	61807	62034	118
SL1344_0055		-	63548	64849	0
SL1344_0056		-	64862	66637	0
SL1344_0057	oadG	-	66654	66893	1
STnc3090		+	66916	67048	10
STnc4160		-	67051	66912	15
SL1344_0058		-	67052	68392	1
SL1344_0059	citC2	+	68637	69683	1
SL1344_0060	citD2	+	69713	70006	1
