Sequence name	locus tag	Name	Start	End	Strand	L Arabinose logFC	D Maltose monohydrate logFC	Mucin from porcine stomach logFC	N Acetyl D Glucosamine logFC	D Xylose logFC	28°C	42°C	Aerobic shaking	bile salts	deoxycholic acid	Gentamicin	peroxide	pH 6	Starvation	L Arabinose R1	L Arabinose R2	D Maltose monohydrate R1	D Maltose monohydrate R2	Mucin from porcine stomach R1	Mucin from porcine stomach R2	N Acetyl D Glucosamine R1	N Acetyl D Glucosamine R2	D Xylose R1	D Xylose R2	Glucose R1	Glucose R2	28°C R1	28°C R2	42°C R1	42°C R2	Aerobic shaking R1	Aerobic shaking R2	Bile salts R1	Bile salts R2	Deoxycholic acid R1	Deoxycholic acid R2	Gentamicin R1	Gentamicin R2	Peroxide R1	Peroxide R2	pH 6 R1	pH 6 R2	Starvation R1	Starvation R2	Control for TYG growth R1	Control for TYG growth R2
NC_004663.1	BT_0001	BT_0001	93	710	+	0,9553336798	-0,3847404131	0,997790706	1,5640865775	0,5753746027	-3,5639942693	0,2590215737	0,2993258448	-4,1484347176	-3,983809614	-2,389052925	-0,0746005133	-0,1474446352	2,4137429881	7,3443360281	6,9942490742	2,7769404595	2,8815576475	6,7124323862	8,107432885	11,2148739933	10,6700032952	5,2742895156	5,7449621086	3,8377782083	3,5541828146	1,9438661541	2,3696165776	28,4236872361	32,8095820268	29,0027847644	33,9428599953	1,2724457262	1,6165749427	1,9643063605	1,258837689	5,3849087997	4,0526896059	26,3370125412	22,1944533527	22,7773326386	23,4039551031	20,294685398	19,1590618466	26,0265620644	25,1247377454
NC_004663.1	BT_0002	BT_0002	783	1778	+	0,4693324928	-0,4850752516	0,4648695724	1,0038422619	0,5570809696	-2,9473558495	-1,029051038	0,2771344986	-3,5378267127	-3,730335278	-2,6752595984	-0,1228463185	-0,2540076738	0,4288019561	3,1608534804	3,2185924943	1,7019957655	1,5802090325	3,4055723136	2,9158311253	4,4958305435	4,7478962031	3,4027674294	3,3746630568	2,6968171193	1,9058661469	1,4184969233	1,9387771999	5,5366974095	7,2160314901	15,3052389666	16,1662161657	1,1745652857	1,0392267489	1,0160205313	0,927564613	1,7949695999	2,5595934353	11,3620908975	12,5162163169	11,0898383401	10,6858394448	2,3959003595	3,7911924502	12,8777260215	13,0931731912
NC_004663.1	BT_0003	BT_0003	1872	2648	+	0,0432893795	-0,6101004766	0,8716374939	0,5627601899	-0,0524285913	-3,1968396698	-0,1756452138	0,7256977393	-2,4998586781	-1,684368574	-0,6218485239	0,7596098494	-0,1712107226	-0,8117581122	0,4648313942	0,5570640856	0,4031042603	0,2323836813	0,8884101688	0,9245318202	0,6422615062	0,8168423575	0,2126729643	0,7231420836	0,3111712061	0,6696286462	0,2101476923	0,1077098444	1,1251042864	1,5920261321	2,57230907	2,4775810216	0,4894022024	0	0,4741429146	0,4637823065	0,9573171199	1,0664972647	2,6179932944	2,5469044831	1,2617181345	1,4422605386	0,3523382882	0,2030995955	1,4911051183	1,5570260011
NC_004663.1	BT_0004	BT_0004	2783	3451	+	0,4785325108	-1,0173520631	1,3133732839	0,6528809547	0,6631519934	-2,9808465066	-0,5704890496	-0,2964224731	-2,8280168974	-3,7826815446	-1,4036040712	-0,3039501836	-0,7056247459	-0,4439918054	0,3718651153	0,4332720665	0,2239468113	0,0464767363	0,8884101688	0,4978248263	0,592856775	0,3063158841	0,4678805215	0,4419201622	0,4148949414	0,1545296876	0,2626846154	0,2154196889	1,4211843618	1,1767149672	1,7363086223	1,4246090874	0	0,5773481938	0,2709388083	0	0,8376524799	0,4265989059	1,3613565131	1,8192174879	0,9960932641	1,3767032414	0,1409353153	0,2707994607	1,7622151398	2,1232172743
NC_004663.1	BT_0005	BT_0005	3460	3996	+	2,346949195	1,323256306	2,9721637873	1,6077667083	2,5672492318	-2,932839402	-1,4967169656	-0,1117234254	-3,3885578907	-4,9434318728	-1,8439479571	-0,0972036476	-0,0689520686	0,7763600149	0,4183482548	0,4332720665	0,2239468113	0,185906945	0,8390540483	0,4267069939	0,0494047312	0,4594738261	0,5529497073	0,4419201622	0,0518618677	0,1030197917	0,2101476923	0,3769844555	0,5329441357	1,1074964397	2,1221549828	2,1059438683	0,2936413214	0,1154696388	0,1354694042	0	0,47865856	1,0664972647	1,7802354402	2,5469044831	2,3242176162	2,0322762134	0,1409353153	0,1353997304	2,3044351828	2,2647650925
NC_004663.1	BT_0006	BT_0006	4088	4534	+	0,0404073609	-0,1740446881	0,5357572517	0,9425034853	0,295114041	-2,7300552218	-0,4161758744	0,3560193311	-2,4286595268	-5,1559709067	-1,600974769	0,4744622644	-0,7555993154	-0,277450054	0,3253819759	0,371376057	0,179157449	0,4182906263	0,5922734458	0,3555891616	0,6916662375	0,6126317681	0,5104151144	0,3213964816	0,3630330738	0,3090593752	0,2101476923	0,2154196889	1,0066722563	1,1767149672	1,9935395293	1,7343067151	0,3915217619	0,1154696388	0,0677347021	0	0,41882624	0,6398983588	1,8849551719	2,1830609855	0,9960932641	0,7211302693	0,1409353153	0,4061991911	1,4911051183	1,4154781828
NC_004663.1	BT_0008	BT_0008	4958	5503	+	-0,1309272852	-0,4228777218	-0,81313088	-0,0957409305	-0,1862769098	-0,6189830955	-0,0325394953	0,0640128298	1,2731084115	-0,876670513	-0,5477999367	0,1146016205	-0,1474257094	0,4287749482	25,2868278435	26,9866601447	21,9467875027	20,7286243675	18,7059696644	13,7257416386	27,9630778863	25,5773763202	24,3297871203	25,952765889	29,0426459003	28,1759130371	29,2630661578	26,8197512647	41,4512105526	42,7770499843	45,2083319054	44,8442164902	100,6210928072	107,6177033263	24,3844927513	22,5265691723	28,7793459182	30,2885223175	55,9726966333	37,1201221647	32,0742031034	45,6934361537	41,153112057	35,8809285466	37,8198479999	48,3385799439
NC_004663.1	BT_0009	BT_0009	5632	6741	+	0,4578031417	-0,5801794163	0,6575275808	0,7375300568	0,3350415653	-1,4646288343	-0,4296496319	0,0659277636	-0,8172042779	-0,9908041951	-0,7326049134	-0,1660370582	-0,3385865827	-0,6183685081	2,6495389468	2,9091124468	1,2988915053	1,3943020875	3,3562161931	2,9869489576	3,1619027999	3,5736853142	2,7647485364	2,3301244916	2,2819221779	1,7513364593	1,1032753848	1,4002279777	2,9015847387	2,2149928794	3,5369249713	3,7163715323	1,859728369	2,0784534977	1,3546940417	2,1201476868	2,1539635199	1,9196950765	3,5604708803	2,5469044831	2,855467357	2,6222918883	1,1274825221	1,489397034	3,2533202581	3,6802432754
NC_004663.1	BT_0010	BT_0010	6796	7869	+	0,5244024257	0,0171043655	0,4801912839	0,8159670607	0,3611581297	-1,8905309366	-0,5614798858	-0,0572343552	-0,3921991139	-1,0198624422	-0,5704082011	-0,2913777567	-0,5726993912	-0,3238061664	3,8116174323	3,7756565799	2,7769404595	2,5562204938	4,0965580004	3,2003024546	4,5452352748	4,7478962031	3,3602328365	3,414837617	2,593093384	2,6785145849	1,3134230771	1,723357511	3,3160968442	4,3607672314	5,2732335935	5,5745572985	4,1109784999	4,5033159117	2,7771227856	2,7826938389	4,4275916797	2,5595934353	4,7647477957	4,4388906705	3,5195295331	4,0645524269	1,9026267561	2,3017954162	5,5577554408	5,7326866405
NC_004663.1	BT_0011	BT_0011	8075	8923	+	0,0151802554	-1,4623436575	0,240430615	-0,2945222352	-0,0319782744	-1,6128494272	-0,2558988664	-1,0745479548	-0,872074638	-1,3995837064	0,1116831956	-0,1828799666	-0,6258211277	-0,6972666014	0,7902133701	1,1760241806	0,3135255358	0,37181389	0,8390540483	1,4934744788	0,7904757	0,7657897102	1,3611069718	0,5222692826	0,9853754859	0,9271781255	0,3677584616	0,3231295333	0,769808196	1,0382779122	0,6430772675	0,3716371532	0,5872826428	0,5773481938	0,4064082125	0,3975276913	1,1966463999	1,0664972647	0,942477586	0,9459930937	0,5312497408	0,8522448637	0,5637412611	0,6092987866	1,1522175914	0,990834728
