Sequence name	locus tag	Name	Start	End	Strand	L Arabinose R1	L Arabinose R2	D Maltose monohydrate R1	D Maltose monohydrate R2	Mucin from porcine stomach R1	Mucin from porcine stomach R2	N Acetyl D Glucosamine R1	N Acetyl D Glucosamine R2	D Xylose R1	D Xylose R2	Glucose R1	Glucose R2	28°C R1	28°C R2	42°C R1	42°C R2	Aerobic shaking R1	Aerobic shaking R2	Bile salts R1	Bile salts R2	Deoxycholic acid R1	Deoxycholic acid R2	Gentamicin R1	Gentamicin R2	Peroxide R1	Peroxide R2	pH 6 R1	pH 6 R2	Starvation R1	Starvation R2	Control for TYG growth R1	Control for TYG growth R2
NC_004663.1	BT_0001	BT_0001	93	710	+	7.344336028	6.994249074	2.77694046	2.881557648	6.712432386	8.107432885	11.21487399	10.6700033	5.274289516	5.744962109	3.837778208	3.554182815	1.943866154	2.369616578	28.42368724	32.80958203	29.00278476	33.94286	1.272445726	1.616574943	1.964306361	1.258837689	5.3849088	4.052689606	26.33701254	22.19445335	22.77733264	23.4039551	20.2946854	19.15906185	26.02656206	25.12473775
NC_004663.1	BT_0002	BT_0002	783	1778	+	3.16085348	3.218592494	1.701995766	1.580209033	3.405572314	2.915831125	4.495830544	4.747896203	3.402767429	3.374663057	2.696817119	1.905866147	1.418496923	1.9387772	5.53669741	7.21603149	15.30523897	16.16621617	1.174565286	1.039226749	1.016020531	0.927564613	1.7949696	2.559593435	11.3620909	12.51621632	11.08983834	10.68583944	2.395900359	3.79119245	12.87772602	13.09317319
NC_004663.1	BT_0003	BT_0003	1872	2648	+	0.4648313942	0.5570640856	0.4031042603	0.2323836813	0.8884101688	0.9245318202	0.6422615062	0.8168423575	0.2126729643	0.7231420836	0.3111712061	0.6696286462	0.2101476923	0.1077098444	1.125104286	1.592026132	2.57230907	2.477581022	0.4894022024	0	0.4741429146	0.4637823065	0.9573171199	1.066497265	2.617993294	2.546904483	1.261718135	1.442260539	0.3523382882	0.2030995955	1.491105118	1.557026001
NC_004663.1	BT_0004	BT_0004	2783	3451	+	0.3718651153	0.4332720665	0.2239468113	0.04647673625	0.8884101688	0.4978248263	0.592856775	0.3063158841	0.4678805215	0.4419201622	0.4148949414	0.1545296876	0.2626846154	0.2154196889	1.421184362	1.176714967	1.736308622	1.424609087	0	0.5773481938	0.2709388083	0	0.8376524799	0.4265989059	1.361356513	1.819217488	0.9960932641	1.376703241	0.1409353153	0.2707994607	1.76221514	2.123217274
NC_004663.1	BT_0005	BT_0005	3460	3996	+	0.4183482548	0.4332720665	0.2239468113	0.185906945	0.8390540483	0.4267069939	0.04940473125	0.4594738261	0.5529497073	0.4419201622	0.05186186768	0.1030197917	0.2101476923	0.3769844555	0.5329441357	1.10749644	2.122154983	2.105943868	0.2936413214	0.1154696388	0.1354694042	0	0.47865856	1.066497265	1.78023544	2.546904483	2.324217616	2.032276213	0.1409353153	0.1353997304	2.304435183	2.264765093
NC_004663.1	BT_0006	BT_0006	4088	4534	+	0.3253819759	0.371376057	0.179157449	0.4182906263	0.5922734458	0.3555891616	0.6916662375	0.6126317681	0.5104151144	0.3213964816	0.3630330738	0.3090593752	0.2101476923	0.2154196889	1.006672256	1.176714967	1.993539529	1.734306715	0.3915217619	0.1154696388	0.06773470209	0	0.41882624	0.6398983588	1.884955172	2.183060986	0.9960932641	0.7211302693	0.1409353153	0.4061991911	1.491105118	1.415478183
NC_004663.1	BT_0008	BT_0008	4958	5503	+	25.28682784	26.98666014	21.9467875	20.72862437	18.70596966	13.72574164	27.96307789	25.57737632	24.32978712	25.95276589	29.0426459	28.17591304	29.26306616	26.81975126	41.45121055	42.77704998	45.20833191	44.84421649	100.6210928	107.6177033	24.38449275	22.52656917	28.77934592	30.28852232	55.97269663	37.12012216	32.0742031	45.69343615	41.15311206	35.88092855	37.819848	48.33857994
NC_004663.1	BT_0009	BT_0009	5632	6741	+	2.649538947	2.909112447	1.298891505	1.394302088	3.356216193	2.986948958	3.1619028	3.573685314	2.764748536	2.330124492	2.281922178	1.751336459	1.103275385	1.400227978	2.901584739	2.214992879	3.536924971	3.716371532	1.859728369	2.078453498	1.354694042	2.120147687	2.15396352	1.919695076	3.56047088	2.546904483	2.855467357	2.622291888	1.127482522	1.489397034	3.253320258	3.680243275
NC_004663.1	BT_0010	BT_0010	6796	7869	+	3.811617432	3.77565658	2.77694046	2.556220494	4.096558	3.200302455	4.545235275	4.747896203	3.360232837	3.414837617	2.593093384	2.678514585	1.313423077	1.723357511	3.316096844	4.360767231	5.273233594	5.574557299	4.1109785	4.503315912	2.777122786	2.782693839	4.42759168	2.559593435	4.764747796	4.438890671	3.519529533	4.064552427	1.902626756	2.301795416	5.557755441	5.73268664
NC_004663.1	BT_0011	BT_0011	8075	8923	+	0.7902133701	1.176024181	0.3135255358	0.37181389	0.8390540483	1.493474479	0.7904757	0.7657897102	1.361106972	0.5222692826	0.9853754859	0.9271781255	0.3677584616	0.3231295333	0.769808196	1.038277912	0.6430772675	0.3716371532	0.5872826428	0.5773481938	0.4064082125	0.3975276913	1.1966464	1.066497265	0.942477586	0.9459930937	0.5312497408	0.8522448637	0.5637412611	0.6092987866	1.152217591	0.990834728
NC_004663.1	BT_0012	BT_0012	8983	10149	+	2.928437783	2.47584038	1.074944694	1.11544167	3.01072335	3.05806679	2.420831831	3.063158841	2.381937201	2.370299052	1.452132295	2.420965106	1.313423077	0.9155336777	3.61217692	3.253270792	1.929231803	1.300730036	2.202309911	2.309392775	1.151489935	2.00420211	2.57278976	2.559593435	2.460913697	3.420128877	2.722654922	2.556734591	1.691223783	1.69249663	3.185542753	3.538695457
NC_004663.1	BT_0013	BT_0013	10181	10723	+	1.022629067	0.8665441331	0.4478936225	0.37181389	0.8390540483	0.8534139879	0.6916662375	1.225263536	0.5954843001	1.044538565	0.5704805445	0.6181187504	0.1050738462	0.1615647667	1.125104286	0.4845296924	0.4501540873	0.5574557299	0.6851630833	1.270166026	0.4064082125	0.2650184609	0.9573171199	1.066497265	0.6806782565	1.018761793	0.5312497408	0.2622291888	0.4932736034	0.6092987866	0.6099975484	0.6369651823
NC_004663.1	BT_0014	BT_0014	10893	13316	+	3.765134293	3.961344608	1.79157449	2.184406604	3.553640675	2.773595461	2.717260219	3.26736943	2.764748536	3.575535858	2.333784046	3.399653127	0.7355169232	1.023243522	2.487072633	4.014674594	1.929231803	2.973097226	2.234936724	3.117680247	1.828836956	2.252656917	3.53010688	3.199491794	2.775072892	3.129054079	2.656248704	1.704489727	1.832159098	2.572594877	2.236657677	2.547860729
NC_004663.1	BT_0015	BT_0015	13288	14586	+	1.62690988	2.228256342	0.8509978828	1.11544167	0.8390540483	0.7822961556	1.729165594	1.786842657	1.658849122	1.92837889	0.9853754859	0.9786880214	0.2101476923	0.2692746111	1.065888271	1.38437055	0.771692721	1.548488138	0.8809239643	1.039226749	0.812816425	1.192583074	1.01714944	0.8531978118	0.6806782565	1.237067892	1.195311917	0.6555729721	0.7751442339	1.015497978	1.084440086	1.203156455
NC_004663.1	BT_0022	BT_0022	19044	19334	+	0.3253819759	0.09284401426	0.2239468113	0.1394302088	0.6169515061	0.7111783232	0.39523785	0.4594738261	0.2339402608	0.401745602	0.155585603	0.2060395835	0.05253692308	0.1346373055	2.753544701	1.522807605	2.66877066	2.105943868	0.2447011012	0	0.2709388083	0.06625461521	0.08974847999	0.4265989059	2.356193965	1.45537399	1.294921243	1.147252701	0.4580397746	0.7785484496	2.101102667	2.370925956
NC_004663.1	BT_0027	BT_0027	21544	22080	-	0.720488661	0.6189600951	0.4254989414	0.2788604175	0.4195270241	0.5689426586	0.6175591406	0.4594738261	0.7018207823	0.4419201622	0.5186186768	0.5923638024	0.1838792308	0.3231295333	0.8586322186	0.9690593848	0.7395388576	1.022002171	2.05548925	2.944475788	1.964306361	1.623238073	0.5983232	0.6398983588	0.7330381224	0.8004556947	0.8632808289	0.6555729721	1.19795018	0.6769986518	0.2711100215	0.6015782277
