locus_tag	common gene name	strand	start	end	NonSPI2	InSPI2 (biological replicate 1)	InSPI2 (biological replicate 2)	InSPI2 average (biological replicate 1 and 2)	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)
SL1344_0001	thrL	+	169	255	6313	5347	3460	4403	2046	2528	6979
SL1344_0002	thrA	+	337	2799	245	63	56	59	16	21	350
SL1344_0003	thrB	+	2801	3730	307	167	133	150	129	48	284
SL1344_0004	thrC	+	3734	5020	283	176	155	166	134	58	209
SL1344_0005	yaaA	-	5114	5887	41	46	42	44	65	358	36
SL1344_0006	yaaJ	-	5966	7396	13	20	19	19	48	27	17
SL1344_0007	talB	+	7665	8618	192	288	200	244	185	75	157
SL1344_0008	mog	+	8729	9319	19	16	15	16	26	31	20
SL1344_0009	yaaH	-	9376	9942	14	5	6	5	5	3	3
SL1344_0010	htgA	-	10092	10805	2	2	3	3	4	2	3
SL1344_0011	yaaI	-	10841	11245	6	5	3	4	7	4	8
SL1344_0012	dnaK	+	11593	13509	266	387	283	335	157	155	275
tpke11		+	13507	13591	157	231	102	166	66	107	149
SL1344_0013	dnaJ	+	13595	14734	122	131	111	121	71	51	158
STnc890		+	14720	14783	223	282	269	275	374	106	1572
SL1344_0014		+	15014	15961	10	13	13	13	5	1	7
SL1344_0015		+	16088	16432	3	7	4	6	12	9	8
SL1344_0016		-	16493	17026	1	2	1	1	1	0	1
STnc3200		-	16493	16445	24	52	18	35	32	28	79
STnc3210		+	17025	17111	20	69	65	67	379	6	86
SL1344_0017		-	17043	17486	1	1	0	1	1	2	2
SL1344_0018	chiA	+	18083	19966	5	3	3	3	4	2	6
SL1344_0019		+	20058	23054	2	2	2	2	4	1	3
SL1344_0020		+	23335	24039	3	7	6	6	8	3	4
SL1344_0021	bcfA	+	24469	25011	3	2	3	3	2	0	3
SL1344_0022	bcfB	+	25112	25798	2	1	1	1	1	1	4
SL1344_0023	bcfC	+	25803	28424	2	2	2	2	3	0	2
SL1344_0024	bcfD	+	28425	29432	3	3	1	2	3	1	2
