locus_tag	common gene name	strand	start	end	EEP	MEP	LEP	ESP (biological replicate 1)	ESP (biological replicate 2)	ESP average (biological replicate 1 and 2)	LSP (biological replicate 1)	LSP (biological replicate 2)	LSP average (biological replicate 1 and 2)
SL1344_0001	thrL	+	169	255	964	1272	1179	764	642	703	234	122	178
SL1344_0002	thrA	+	337	2799	29	11	12	12	12	12	2	2	2
SL1344_0003	thrB	+	2801	3730	39	30	28	33	29	31	2	1	1
SL1344_0004	thrC	+	3734	5020	44	34	31	37	36	37	4	3	3
SL1344_0005	yaaA	-	5114	5887	44	61	42	35	41	38	3	3	3
SL1344_0006	yaaJ	-	5966	7396	26	27	20	12	13	12	4	5	4
SL1344_0007	talB	+	7665	8618	284	469	368	197	201	199	31	21	26
SL1344_0008	mog	+	8729	9319	81	63	59	60	42	51	29	17	23
SL1344_0009	yaaH	-	9376	9942	270	60	18	5	7	6	3	3	3
SL1344_0010	htgA	-	10092	10805	3	2	3	2	1	2	1	0	1
SL1344_0011	yaaI	-	10841	11245	8	7	7	3	3	3	2	1	1
SL1344_0012	dnaK	+	11593	13509	322	784	104	107	85	96	9	7	8
tpke11		+	13507	13591	108	346	53	68	72	70	10	9	9
SL1344_0013	dnaJ	+	13595	14734	164	309	64	49	57	53	7	9	8
STnc890		+	14720	14783	62	437	88	248	249	248	114	139	126
SL1344_0014		+	15014	15961	25	20	9	6	5	5	2	1	1
SL1344_0015		+	16088	16432	11	6	5	8	5	6	10	5	7
SL1344_0016		-	16493	17026	3	2	2	1	1	1	1	1	1
STnc3200		-	16493	16445	13	14	26	55	27	41	38	15	27
STnc3210		+	17025	17111	9	10	39	10	15	13	88	35	62
SL1344_0017		-	17043	17486	4	1	1	1	1	1	3	2	3
SL1344_0018	chiA	+	18083	19966	4	5	6	3	5	4	7	4	5
SL1344_0019		+	20058	23054	2	2	3	2	2	2	1	1	1
SL1344_0020		+	23335	24039	2	3	3	3	3	3	1	1	1
SL1344_0021	bcfA	+	24469	25011	4	3	4	4	5	4	1	1	1
SL1344_0022	bcfB	+	25112	25798	1	2	2	2	2	2	2	1	1
SL1344_0023	bcfC	+	25803	28424	3	2	3	2	2	2	0	0	0
SL1344_0024	bcfD	+	28425	29432	5	4	3	2	2	2	1	1	1
SL1344_0025	bcfE	+	29433	29978	2	3	3	1	1	1	0	0	0
SL1344_0026	bcfF	+	29994	30512	2	2	2	1	1	1	1	0	0
SL1344_0027	bcfG	+	30505	31209	3	2	2	1	2	2	0	0	0
SL1344_0028	bcfH	+	31274	32119	9	9	7	6	6	6	1	1	1
SL1344_0029		+	32116	32445	15	11	11	5	8	7	29	11	20
SL1344_0030		-	32545	32994	2	1	1	0	0	0	2	1	2
SL1344_0031		+	33364	34368	6	4	4	3	2	3	3	2	2
SL1344_0032		-	34376	34816	3	2	3	3	1	2	1	0	0
SL1344_0033		+	35339	37057	5	5	6	6	5	6	5	4	4
SL1344_0034		-	37103	38674	9	8	10	12	10	11	4	2	3
SL1344_0035		-	38773	39534	1	1	2	2	2	2	2	1	2
SL1344_0036		+	40131	41624	6	6	10	12	10	11	11	8	9
STnc1010		+	41629	41708	157	260	338	543	398	470	1324	1142	1233
SL1344_0037		+	41723	42913	5	5	5	3	4	4	1	1	1
SL1344_0038		+	42932	44185	2	2	4	3	3	3	0	0	0
SL1344_0039		+	44312	46027	11	10	11	11	11	11	8	6	7
SL1344_0040	nhaA	+	46190	47356	84	51	97	64	69	67	10	9	10
SL1344_0041	nhaR	+	47418	48317	92	53	86	47	60	53	4	4	4
SL1344_0042		-	48372	50411	5	4	6	3	3	3	1	0	0
SL1344_0043		-	50451	51824	2	1	3	2	2	2	1	1	1
SL1344_0044	rpsT	-	52280	52543	12205	7528	8737	1032	1683	1357	35	60	48
SL1344_0045	yaaY	+	52649	52864	89	98	74	14	22	18	3	3	3
SL1344_0046	ribF	+	52872	53810	191	217	160	67	86	76	3	3	3
SL1344_0047	ileS	+	53855	56689	134	161	105	46	48	47	6	3	4
SL1344_0048	lspA	+	56689	57189	250	307	195	104	102	103	9	9	9
SL1344_0049	fkpB	+	57344	57793	203	182	109	40	47	43	2	2	2
SL1344_0050	ispH	+	57796	58746	137	127	84	38	46	42	3	2	2
SL1344_0051		+	58946	60148	26	26	22	13	15	14	3	1	2
SL1344_0052	rihC	+	60164	61084	30	24	24	16	16	16	1	0	1
SL1344_0053	citB2	-	61106	61792	5	6	9	7	7	7	1	0	0
SL1344_0054	citA2	-	61794	63413	4	5	6	9	8	8	11	8	9
STnc3220		+	61807	62034	91	66	71	64	48	56	38	22	30
SL1344_0055		-	63548	64849	0	0	0	0	0	0	0	0	0
SL1344_0056		-	64862	66637	0	0	0	0	0	0	0	0	0
SL1344_0057	oadG	-	66654	66893	1	1	3	1	1	1	0	0	0
STnc3090		+	66916	67048	7	10	7	7	10	9	1	1	1
STnc4160		-	67051	66912	24	34	28	69	50	60	80	104	92
SL1344_0058		-	67052	68392	1	1	2	1	0	1	1	1	1
SL1344_0059	citC2	+	68637	69683	1	1	1	1	1	1	0	0	0
SL1344_0060	citD2	+	69713	70006	0	1	3	1	1	1	0	0	0
SL1344_0061	citE2	+	70003	70872	1	1	2	1	1	1	0	0	0
SL1344_0062	citF2	+	70883	72403	1	1	2	1	1	1	0	0	0
SL1344_0063	citX2	+	72403	72954	2	2	3	2	1	1	0	0	0
SL1344_0064	citG2	+	72947	73840	2	2	2	1	2	1	0	0	0
SL1344_0065	dapB	+	74020	74841	40	48	55	65	73	69	36	22	29
DapZ		+	74847	74924	558	1601	10173	31631	31672	31652	4074	4474	4274
STnc3230		-	75015	74894	30	37	131	143	119	131	148	95	121
SL1344_0066A		+	75091	75438	1	2	2	2	1	1	0	1	0
SL1344_0067	carA	+	75883	77031	22	28	10	31	22	26	19	14	16
SL1344_0068	carB	+	77050	80277	15	26	11	17	14	15	1	1	1
SL1344_0069	caiF	+	80551	80946	14	13	8	29	62	45	8	4	6
SL1344_0070	caiE	-	81023	81619	2	1	3	1	2	1	0	0	0
SL1344_0071	caiD	-	81728	82513	1	2	3	2	3	2	0	0	0
SL1344_0072	caiC	-	82567	84120	3	3	3	3	4	3	5	2	4
SL1344_0073	caiB	-	84183	85454	4	3	3	2	3	3	2	1	2
SL1344_0074	caiA	-	85512	86654	4	3	6	9	8	8	1	0	1
SL1344_0075	caiT	-	86689	88206	1	0	1	0	0	0	0	0	0
SL1344_0076	fixA	+	88687	89457	1	2	2	2	2	2	1	0	0
SL1344_0077	fixB	+	89473	90414	1	1	0	1	1	1	0	0	0
SL1344_0078	fixC	+	90464	91750	1	1	1	1	1	1	0	0	0
SL1344_0079	fixX	+	91747	92034	4	2	2	2	3	2	1	0	1
SL1344_0080	yaaU	+	92181	93521	7	6	6	3	4	4	1	1	1
SL1344_0081		+	93610	93840	5	9	23	35	32	33	101	47	74
SL1344_0082		+	94134	94550	10	10	15	24	20	22	16	8	12
STnc470		-	94741	94653	67	60	139	415	341	378	503	743	623
SL1344_0083		-	94774	95064	13	7	20	39	32	35	17	10	13
STnc4170		+	95102	95188	79	51	63	52	43	48	33	13	23
SL1344_0083A		-	95134	95226	2	8	6	15	25	20	80	69	74
SL1344_0084		+	95962	97851	11	8	7	5	5	5	54	30	42
SL1344_0085		-	98056	98121	5	4	9	3	3	3	2	1	1
SL1344_0086	yabF	+	98258	98788	7	7	17	19	19	19	30	18	24
SL1344_0087	kefC	+	98781	100643	6	6	10	11	10	10	3	3	3
SL1344_0088	folA	+	100842	101321	136	125	122	59	64	61	18	12	15
SL1344_0089	apaH	-	101427	102275	67	58	50	38	35	37	19	12	16
STnc3240		-	101483	101322	69	86	81	84	77	81	16	14	15
SL1344_0090	apaG	-	102286	102663	228	175	94	51	76	64	6	5	5
SL1344_0091	ksgA	-	102666	103487	152	169	133	82	96	89	34	21	27
SL1344_0092	pdxAa	-	103484	104473	217	239	206	135	150	142	98	102	100
SL1344_0093	surA	-	104473	105759	150	155	114	65	77	71	6	5	5
SL1344_0094	imp	-	105813	108173	130	131	105	63	72	67	7	7	7
SL1344_0095	djlA	+	108427	109239	63	64	55	42	36	39	15	13	14
STnc4180		-	109322	109243	109	237	132	112	70	91	2	2	2
SL1344_0096	rluA	-	109334	109993	122	51	33	14	13	13	1	0	1
SL1344_0097	hepA	-	110005	112911	64	26	23	9	13	11	1	0	1
SL1344_0098	polB	-	113085	115436	17	15	13	9	9	9	7	5	6
SL1344_0099		-	115480	116100	17	14	22	13	10	12	5	4	4
SL1344_0099A		-	116195	116254	0	0	2	2	0	1	0	0	0
SL1344_0100		+	116819	117238	5	4	3	1	1	1	4	2	3
SL1344_0101	araD	-	117244	117939	1	2	7	17	13	15	2	4	3
SL1344_0102	araA	-	118080	119582	1	1	2	2	1	2	1	1	1
SL1344_0103	araB	-	119593	121302	1	0	1	1	1	1	0	0	0
SL1344_0104	araC	+	121643	122488	13	13	22	22	20	21	1	1	1
SL1344_0105	yabI	+	122607	123374	62	40	41	16	17	17	2	1	1
SL1344_0106	thiQ	-	123413	124120	22	23	12	7	5	6	1	1	1
SL1344_0107	thiP	-	124104	125714	29	28	14	7	9	8	0	0	0
