locus_tag	common gene name	strand	start	end	MEP	Cold shock (15C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	LowFe2+ shock	Anaerobic shock
SL1344_0001	thrL	+	169	255	1272	2726	2839	1484	3222	3271	2037	3278
SL1344_0002	thrA	+	337	2799	11	14	10	11	35	18	18	13
SL1344_0003	thrB	+	2801	3730	30	19	17	29	48	49	36	27
SL1344_0004	thrC	+	3734	5020	34	42	24	31	67	41	41	34
SL1344_0005	yaaA	-	5114	5887	61	44	20	37	62	87	60	51
SL1344_0006	yaaJ	-	5966	7396	27	30	14	23	32	25	25	21
SL1344_0007	talB	+	7665	8618	469	596	140	275	254	595	575	464
SL1344_0008	mog	+	8729	9319	63	128	129	41	63	110	56	72
SL1344_0009	yaaH	-	9376	9942	60	82	43	63	15	23	16	10
SL1344_0010	htgA	-	10092	10805	2	4	3	3	4	2	2	2
SL1344_0011	yaaI	-	10841	11245	7	6	6	9	15	6	10	12
SL1344_0012	dnaK	+	11593	13509	784	1203	64	307	1101	624	1212	158
tpke11		+	13507	13591	346	342	37	159	559	277	486	113
SL1344_0013	dnaJ	+	13595	14734	309	435	49	148	304	270	421	74
STnc890		+	14720	14783	437	382	143	201	844	437	491	493
SL1344_0014		+	15014	15961	20	53	11	19	18	16	28	10
SL1344_0015		+	16088	16432	6	19	7	9	15	6	11	10
SL1344_0016		-	16493	17026	2	0	1	1	7	2	3	1
STnc3200		-	16493	16445	14	9	27	22	17	14	27	111
STnc3210		+	17025	17111	10	19	4	20	90	13	17	10
SL1344_0017		-	17043	17486	1	1	1	2	16	1	4	1
SL1344_0018	chiA	+	18083	19966	5	5	1	3	8	3	4	4
SL1344_0019		+	20058	23054	2	3	2	1	3	2	2	3
SL1344_0020		+	23335	24039	3	2	2	2	6	3	3	6
SL1344_0021	bcfA	+	24469	25011	3	2	2	3	9	2	2	2
SL1344_0022	bcfB	+	25112	25798	2	2	2	1	1	1	3	3
SL1344_0023	bcfC	+	25803	28424	2	3	2	1	2	2	3	2
SL1344_0024	bcfD	+	28425	29432	4	4	2	2	2	3	3	2
SL1344_0025	bcfE	+	29433	29978	3	1	0	1	2	1	2	2
SL1344_0026	bcfF	+	29994	30512	2	2	0	1	1	3	1	1
SL1344_0027	bcfG	+	30505	31209	2	2	2	2	1	5	3	1
SL1344_0028	bcfH	+	31274	32119	9	6	5	8	5	6	8	4
SL1344_0029		+	32116	32445	11	8	12	11	14	16	11	7
SL1344_0030		-	32545	32994	1	1	0	2	5	0	1	3
SL1344_0031		+	33364	34368	4	7	5	5	11	6	8	4
SL1344_0032		-	34376	34816	2	2	8	2	13	3	2	1
SL1344_0033		+	35339	37057	5	5	7	5	7	6	7	8
SL1344_0034		-	37103	38674	8	7	4	7	13	7	14	17
