locus_tag	common gene name	strand	start	end	InSPI2 (biological replicate 1)	InSPI2 (biological replicate 2)	InSPI2 average (biological replicate 1 and 2)	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)
SL1344_0001	thrL	+	169	255	5347	3460	4403	2046	2528	6979
SL1344_0002	thrA	+	337	2799	63	56	59	16	21	350
SL1344_0003	thrB	+	2801	3730	167	133	150	129	48	284
SL1344_0004	thrC	+	3734	5020	176	155	166	134	58	209
SL1344_0005	yaaA	-	5114	5887	46	42	44	65	358	36
SL1344_0006	yaaJ	-	5966	7396	20	19	19	48	27	17
SL1344_0007	talB	+	7665	8618	288	200	244	185	75	157
SL1344_0008	mog	+	8729	9319	16	15	16	26	31	20
SL1344_0009	yaaH	-	9376	9942	5	6	5	5	3	3
SL1344_0010	htgA	-	10092	10805	2	3	3	4	2	3
SL1344_0011	yaaI	-	10841	11245	5	3	4	7	4	8
SL1344_0012	dnaK	+	11593	13509	387	283	335	157	155	275
tpke11		+	13507	13591	231	102	166	66	107	149
SL1344_0013	dnaJ	+	13595	14734	131	111	121	71	51	158
STnc890		+	14720	14783	282	269	275	374	106	1572
SL1344_0014		+	15014	15961	13	13	13	5	1	7
SL1344_0015		+	16088	16432	7	4	6	12	9	8
SL1344_0016		-	16493	17026	2	1	1	1	0	1
STnc3200		-	16493	16445	52	18	35	32	28	79
STnc3210		+	17025	17111	69	65	67	379	6	86
SL1344_0017		-	17043	17486	1	0	1	1	2	2
SL1344_0018	chiA	+	18083	19966	3	3	3	4	2	6
SL1344_0019		+	20058	23054	2	2	2	4	1	3
SL1344_0020		+	23335	24039	7	6	6	8	3	4
SL1344_0021	bcfA	+	24469	25011	2	3	3	2	0	3
SL1344_0022	bcfB	+	25112	25798	1	1	1	1	1	4
SL1344_0023	bcfC	+	25803	28424	2	2	2	3	0	2
SL1344_0024	bcfD	+	28425	29432	3	1	2	3	1	2
SL1344_0025	bcfE	+	29433	29978	1	1	1	2	1	2
SL1344_0026	bcfF	+	29994	30512	2	1	2	3	0	1
SL1344_0027	bcfG	+	30505	31209	3	2	2	4	1	3
SL1344_0028	bcfH	+	31274	32119	12	12	12	8	6	7
SL1344_0029		+	32116	32445	10	8	9	13	3	12
SL1344_0030		-	32545	32994	2	0	1	1	0	2
SL1344_0031		+	33364	34368	3	2	3	3	2	8
SL1344_0032		-	34376	34816	2	2	2	1	1	2
SL1344_0033		+	35339	37057	6	5	6	6	5	10
SL1344_0034		-	37103	38674	9	9	9	10	9	14
SL1344_0035		-	38773	39534	4	3	3	12	5	8
SL1344_0036		+	40131	41624	6	7	6	12	6	11
STnc1010		+	41629	41708	408	287	348	756	611	605
SL1344_0037		+	41723	42913	3	3	3	4	2	3
SL1344_0038		+	42932	44185	2	2	2	3	1	4
SL1344_0039		+	44312	46027	16	13	14	21	11	18
SL1344_0040	nhaA	+	46190	47356	82	84	83	100	40	59
SL1344_0041	nhaR	+	47418	48317	46	40	43	53	12	39
SL1344_0042		-	48372	50411	3	3	3	2	1	2
SL1344_0043		-	50451	51824	1	1	1	2	0	2
SL1344_0044	rpsT	-	52280	52543	3051	4230	3641	935	131	611
SL1344_0045	yaaY	+	52649	52864	48	46	47	42	8	29
SL1344_0046	ribF	+	52872	53810	102	91	97	56	19	46
SL1344_0047	ileS	+	53855	56689	100	83	91	45	27	44
SL1344_0048	lspA	+	56689	57189	174	139	156	85	61	118
SL1344_0049	fkpB	+	57344	57793	80	78	79	61	8	48
SL1344_0050	ispH	+	57796	58746	79	73	76	68	16	73
SL1344_0051		+	58946	60148	13	13	13	12	6	11
SL1344_0052	rihC	+	60164	61084	20	14	17	14	5	10
SL1344_0053	citB2	-	61106	61792	9	6	7	9	2	7
SL1344_0054	citA2	-	61794	63413	15	11	13	24	5	10
STnc3220		+	61807	62034	43	40	41	73	156	112
SL1344_0055		-	63548	64849	0	0	0	0	0	0
SL1344_0056		-	64862	66637	0	0	0	0	0	0
SL1344_0057	oadG	-	66654	66893	0	1	0	1	1	1
STnc3090		+	66916	67048	209	221	215	168	25	16
STnc4160		-	67051	66912	83	122	102	31	60	54
SL1344_0058		-	67052	68392	1	1	1	1	1	1
SL1344_0059	citC2	+	68637	69683	1	1	1	1	0	1
SL1344_0060	citD2	+	69713	70006	0	0	0	0	0	0
SL1344_0061	citE2	+	70003	70872	1	1	1	0	0	0
SL1344_0062	citF2	+	70883	72403	1	1	1	1	0	1
SL1344_0063	citX2	+	72403	72954	2	1	1	1	0	1
SL1344_0064	citG2	+	72947	73840	2	2	2	3	2	2
SL1344_0065	dapB	+	74020	74841	412	400	406	372	151	425
DapZ		+	74847	74924	4361	4399	4380	4164	10784	12730
STnc3230		-	75015	74894	108	135	121	490	60	161
SL1344_0066A		+	75091	75438	3	2	3	2	1	3
SL1344_0067	carA	+	75883	77031	175	165	170	31	16	14
SL1344_0068	carB	+	77050	80277	157	139	148	26	37	9
SL1344_0069	caiF	+	80551	80946	11	8	9	7	6	16
SL1344_0070	caiE	-	81023	81619	2	1	1	1	0	2
SL1344_0071	caiD	-	81728	82513	2	1	2	1	0	1
SL1344_0072	caiC	-	82567	84120	3	2	3	6	1	5
SL1344_0073	caiB	-	84183	85454	1	2	2	2	2	3
SL1344_0074	caiA	-	85512	86654	3	2	2	3	3	3
SL1344_0075	caiT	-	86689	88206	0	0	0	0	0	0
SL1344_0076	fixA	+	88687	89457	1	2	2	2	1	2
SL1344_0077	fixB	+	89473	90414	1	1	1	0	0	1
SL1344_0078	fixC	+	90464	91750	1	1	1	1	0	1
SL1344_0079	fixX	+	91747	92034	3	2	3	2	1	1
SL1344_0080	yaaU	+	92181	93521	8	7	8	10	3	7
SL1344_0081		+	93610	93840	53	39	46	34	7	17
SL1344_0082		+	94134	94550	128	92	110	166	44	23
STnc470		-	94741	94653	3309	3615	3462	6460	2034	1488
SL1344_0083		-	94774	95064	481	381	431	583	18	99
STnc4170		+	95102	95188	105	89	97	131	98	334
SL1344_0083A		-	95134	95226	277	196	236	256	18	66
SL1344_0084		+	95962	97851	5	4	5	8	8	12
SL1344_0085		-	98056	98121	2	9	5	8	6	20
SL1344_0086	yabF	+	98258	98788	21	23	22	57	9	32
SL1344_0087	kefC	+	98781	100643	11	11	11	20	2	12
SL1344_0088	folA	+	100842	101321	76	79	78	98	15	42
SL1344_0089	apaH	-	101427	102275	49	47	48	67	20	46
STnc3240		-	101483	101322	124	72	98	137	68	127
SL1344_0090	apaG	-	102286	102663	101	96	99	83	10	45
SL1344_0091	ksgA	-	102666	103487	138	112	125	143	27	79
SL1344_0092	pdxAa	-	103484	104473	155	194	175	332	271	256
SL1344_0093	surA	-	104473	105759	109	110	109	103	22	80
SL1344_0094	imp	-	105813	108173	95	92	94	94	19	79
SL1344_0095	djlA	+	108427	109239	40	38	39	48	22	39
STnc4180		-	109322	109243	148	63	105	80	65	60
SL1344_0096	rluA	-	109334	109993	18	20	19	17	5	8
SL1344_0097	hepA	-	110005	112911	15	14	15	15	3	8
SL1344_0098	polB	-	113085	115436	7	8	7	13	61	18
SL1344_0099		-	115480	116100	9	10	10	17	15	25
SL1344_0099A		-	116195	116254	0	1	1	1	0	1
SL1344_0100		+	116819	117238	3	2	2	3	3	7
SL1344_0101	araD	-	117244	117939	7	5	6	6	10	14
SL1344_0102	araA	-	118080	119582	2	1	2	2	1	2
SL1344_0103	araB	-	119593	121302	1	0	0	1	0	0
SL1344_0104	araC	+	121643	122488	9	8	8	10	2	4
SL1344_0105	yabI	+	122607	123374	16	14	15	18	1	5
SL1344_0106	thiQ	-	123413	124120	24	24	24	29	4	8
SL1344_0107	thiP	-	124104	125714	39	42	41	40	7	11
SL1344_0108	tbpA	-	125690	126673	60	52	56	55	8	14
SroA		-	126802	126713	5778	3477	4628	1754	3562	3517
SL1344_0109	yabN	-	126851	128509	4	4	4	5	3	5
SgrS		+	128577	128808	344	374	359	400	500	756
SL1344_0109A	sgrT	+	128602	128724	0	0	0	0	0	0
SL1344_0110	leuD	-	129060	129665	185	151	168	24	79	533
SL1344_0111	leuC	-	129676	131076	93	86	89	15	72	358
SL1344_0112	leuB	-	131079	132170	153	127	140	24	94	358
SL1344_0113	leuA	-	132170	133741	58	50	54	12	34	105
SL1344_0114	leuL	-	133829	133915	10450	10372	10411	3378	7170	11626
SL1344_0115	leuO	+	134572	135516	3	2	2	7	3	8
SL1344_0116	ilvI	+	135901	137562	105	88	96	35	33	44
SL1344_0117	ilvH	+	137565	138056	147	118	133	50	24	50
STnc1500		-	138274	138100	186	169	178	105	79	83
SL1344_0118	fruR	+	138340	139344	39	39	39	29	11	23
SL1344_0119	mraZ	+	139950	140408	219	200	209	170	61	166
SL1344_0120	mraW	+	140410	141351	179	152	165	134	32	129
SL1344_0121	ftsL	+	141348	141713	178	150	164	90	43	94
SL1344_0122	ftsI	+	141729	143495	236	214	225	247	91	237
SL1344_0123	murE	+	143482	144969	87	75	81	58	10	63
SL1344_0124	murF	+	144966	146324	70	56	63	49	8	52
SL1344_0125	mraY	+	146318	147400	78	78	78	61	11	61
SL1344_0126	murD	+	147403	148719	91	77	84	68	19	62
SL1344_0127	ftsW	+	148806	149963	61	67	64	50	10	33
SL1344_0128	murG	+	149960	151027	87	78	82	72	15	38
SL1344_0129	murC	+	151146	152621	87	74	80	57	10	24
SL1344_0130	ddl	+	152614	153534	147	125	136	139	38	67
SL1344_0131	ftsQ	+	153536	154366	116	115	115	98	21	57
SL1344_0132	ftsA	+	154363	155625	148	135	141	114	39	59
SL1344_0133	ftsZ	+	155686	156837	191	169	180	118	37	56
SL1344_0134	lpxC	+	156938	157855	487	421	454	324	163	244
SL1344_0135	yacA	+	158203	158631	43	46	45	41	11	34
SL1344_0136	secA	+	158693	161398	54	54	54	27	8	27
SL1344_0137	mutT	+	161550	161945	27	30	28	30	2	9
SL1344_0138	yacG	-	162267	162458	62	63	63	61	9	31
SL1344_0139	yacF	-	162468	163211	35	34	35	30	4	21
SL1344_0140	coaE	-	163211	163831	40	35	38	39	10	30
SL1344_0141	guaC	+	164057	165100	186	155	171	88	22	71
SL1344_0142	pilC	-	165131	166333	1	1	1	1	0	0
SL1344_0143	pilB	-	166323	167708	0	0	0	1	1	1
SL1344_0144	pilA	-	167718	168155	0	0	0	0	0	0
SL1344_0145	nadC	-	168377	169123	23	21	22	11	3	8
SL1344_0146	ampD	+	169358	169921	34	31	33	33	28	25
SL1344_0147	ampE	+	169918	170772	32	31	31	36	24	44
SL1344_0148		-	170864	171814	9	10	10	8	3	9
SL1344_0149		-	171814	173220	4	4	4	6	2	5
SL1344_0150	aroP	-	173384	174757	93	111	102	49	98	90
SL1344_0151	pdhR	+	175320	176084	105	120	112	133	23	108
tp2		-	176242	176086	6	3	4	5	2	6
SL1344_0152	aceE	+	176244	178907	230	187	209	115	35	57
SL1344_0153	aceF	+	178922	180811	276	206	241	130	55	63
SL1344_0154	lpdA	+	181011	182435	358	295	327	176	82	173
SL1344_0155		+	182724	183008	2	1	2	1	1	1
SL1344_0156		-	183046	183837	3	2	2	2	0	1
SL1344_0157	yacH	-	183850	185464	4	3	4	9	2	5
SL1344_0159	acnB	+	185853	188450	113	106	109	44	54	123
SL1344_0160		-	188511	189353	152	111	131	184	49	261
SL1344_0161	yacL	+	189599	189961	32	30	31	46	67	60
SL1344_0162	kdgT	+	190196	191149	1	2	1	2	2	3
SL1344_0163		+	191146	192417	2	2	2	3	2	3
SL1344_0164	pdxAb	+	192407	193390	19	15	17	16	31	28
SL1344_0165		+	193400	194167	43	39	41	35	54	59
SL1344_0166	speD	-	194197	194991	113	98	106	14	19	5
SL1344_0167	speE	-	195012	195872	70	68	69	15	32	9
SL1344_0168	yacC	-	195979	196326	95	114	105	86	44	111
SL1344_0169	cueO	+	196528	198138	60	50	55	40	42	87
SL1344_0170	gcd	-	198216	200606	71	70	71	81	12	46
SL1344_0171	hpt	+	200812	201348	104	103	103	143	26	65
SL1344_0172	yadF	-	201406	202068	471	428	450	292	66	255
SL1344_0173	yadG	+	202177	203103	16	17	16	16	8	15
SL1344_0174	yadH	+	203100	203870	14	18	16	16	6	13
SL1344_0175	stiH	-	203987	205066	3	3	3	5	2	4
SL1344_0176	stiC	-	205075	207621	1	1	1	1	0	1
SL1344_0177	stiB	-	207648	208331	1	1	1	1	0	1
SL1344_0178	stiA	-	208379	208918	3	1	2	2	2	4
SL1344_0179	yadI	+	209289	209729	8	3	5	8	3	5
SL1344_0180	yadE	+	209791	211020	17	16	17	21	2	12
STnc4190		-	209971	209868	43	55	49	51	18	68
SL1344_0181	panD	-	211027	211407	271	319	295	141	23	84
SL1344_0182	panC	-	211502	212356	40	33	37	20	6	8
SL1344_0183	panB	-	212482	213273	32	29	31	21	4	5
SL1344_0184	folK	-	213394	213873	35	31	33	15	2	7
SL1344_0185	pcnB	-	213870	215288	101	93	97	42	7	23
SL1344_0186	yadB	-	215429	216370	19	22	20	11	2	8
SL1344_0187	dksA	-	216394	216849	358	456	407	202	47	131
SL1344_0188	sfsA	-	217026	217730	46	37	42	75	19	68
SL1344_0189	ligT	-	217747	218277	43	40	41	43	45	57
SL1344_0190	hrpB	+	218305	220779	21	19	20	22	5	13
