gene	EEP	MEP	LEP	ESP	LSP	gap	25C	gap	Cold shock (15C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	Low Fe2+ shock	Anaerobic shock	gap	Anaerobic growth	Oxygen shock	gap	NonSPI2	InSPI2	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)	gap	Macrophage 	Common gene name	Gene Synonym	Type	Start position (4/74)	End position (4/74)	Strand	Product (EMBL DB)	4-74 ID	SL1344 Locus ID
tpke11	108	346	53	69	10		74		342	37	159	560	278	486	113		51	160		157	230	66	107	149		184	tpke11		sRNA	13507	13591	+			SL1344_tpke11
STnc890	62	438	89	248	114		94		382	143	201	844	438	491	495		142	208		223	281	373	106	1572		67	STnc890		sRNA	14720	14783	+			SL1344_STnc890
STnc3200	9	10	18	48	33		11		0	20	14	7	12	20	82		40	11		20	52	24	22	68		3	STnc3200		sRNA	16445	16493	-			SL1344_STnc3200
STnc3210	9	10	39	10	88		8		19	4	20	90	13	17	10		14	41		20	69	377	6	86		15	STnc3210		sRNA	17025	17111	+			SL1344_STnc3210
STnc1010	157	261	338	544	1325		61		238	368	213	345	307	230	466		314	170		360	407	754	610	605		111	STnc900		sRNA	41629	41708	+			SL1344_STnc1010
STnc3220	91	66	72	65	38		118		252	150	64	137	69	76	119		79	48		47	43	72	156	112		39	STnc3220		sRNA	61807	62034	+			SL1344_STnc3220
STnc3090	7	10	7	7	1		9		5	12	22	5	1	14	9		6	8		14	209	167	25	16		254	STnc3090		sRNA	66916	67048	+			SL1344_STnc3090
STnc4160	23	30	27	62	79		14		9	23	23	30	1	34	44		52	51		49	78	28	56	50		81	STnc4160		sRNA	66912	67051	-			SL1344_STnc4160
DapZ	559	1603	10189	31715	4078		1805		1720	2866	1256	1491	1123	1653	3133		11134	16358		9461	4347	4150	10776	12728		317	DapZ	STnc1020STnc820	sRNA	74847	74924	+			SL1344_DapZ
STnc3230	30	37	131	143	148		119		10	52	31	141	81	90	87		122	165		45	107	488	60	161		26	STnc3230		sRNA	74894	75015	-			SL1344_STnc3230
