Sequence name	locus tag	Name	Start	End	Strand	L Arabinose logFC	D Maltose monohydrate logFC	Mucin from porcine stomach logFC	N Acetyl D Glucosamine logFC	D Xylose logFC	28°C logFC	42°C logFC	Aerobic shaking logFC	bile salts logFC	deoxycholic acid logFC	Gentamicin logFC	peroxide logFC	pH 6 logFC	Starvation logFC
NC_004663.1	BT_0001	BT_0001	93	710	+	0.9553336798	-0.3847404131	0.997790706	1.564086577	0.5753746027	-3.563994269	0.2590215737	0.2993258448	-4.148434718	-3.983809614	-2.389052925	-0.07460051335	-0.1474446352	2.413742988
NC_004663.1	BT_0002	BT_0002	783	1778	+	0.4693324928	-0.4850752516	0.4648695724	1.003842262	0.5570809696	-2.947355849	-1.029051038	0.2771344986	-3.537826713	-3.730335278	-2.675259598	-0.1228463185	-0.2540076738	0.4288019561
NC_004663.1	BT_0003	BT_0003	1872	2648	+	0.04328937948	-0.6101004766	0.8716374939	0.5627601899	-0.05242859135	-3.19683967	-0.1756452138	0.7256977393	-2.499858678	-1.684368574	-0.6218485239	0.7596098494	-0.1712107226	-0.8117581122
NC_004663.1	BT_0004	BT_0004	2783	3451	+	0.4785325108	-1.017352063	1.313373284	0.6528809547	0.6631519934	-2.980846507	-0.5704890496	-0.2964224731	-2.828016897	-3.782681545	-1.403604071	-0.3039501836	-0.7056247459	-0.4439918054
NC_004663.1	BT_0005	BT_0005	3460	3996	+	2.346949195	1.323256306	2.972163787	1.607766708	2.567249232	-2.932839402	-1.496716966	-0.1117234254	-3.388557891	-4.943431873	-1.843947957	-0.09720364761	-0.06895206863	0.7763600149
NC_004663.1	BT_0006	BT_0006	4088	4534	+	0.04040736085	-0.1740446881	0.5357572517	0.9425034853	0.295114041	-2.730055222	-0.4161758744	0.3560193311	-2.428659527	-5.155970907	-1.600974769	0.4744622644	-0.7555993154	-0.277450054
NC_004663.1	BT_0008	BT_0008	4958	5503	+	-0.1309272852	-0.4228777218	-0.81313088	-0.09574093051	-0.1862769098	-0.6189830955	-0.03253949534	0.06401282985	1.273108412	-0.876670513	-0.5477999367	0.1146016205	-0.1474257094	0.4287749482
NC_004663.1	BT_0009	BT_0009	5632	6741	+	0.4578031417	-0.5801794163	0.6575275808	0.7375300568	0.3350415653	-1.464628834	-0.4296496319	0.06592776358	-0.8172042779	-0.9908041951	-0.7326049134	-0.1660370582	-0.3385865827	-0.6183685081
NC_004663.1	BT_0010	BT_0010	6796	7869	+	0.5244024257	0.01710436548	0.4801912839	0.8159670607	0.3611581297	-1.890530937	-0.5614798858	-0.05723435516	-0.3921991139	-1.019862442	-0.5704082011	-0.2913777567	-0.5726993912	-0.3238061664
NC_004663.1	BT_0011	BT_0011	8075	8923	+	0.01518025545	-1.462343657	0.240430615	-0.2945222352	-0.03197827439	-1.612849427	-0.2558988664	-1.074547955	-0.872074638	-1.399583706	0.1116831956	-0.1828799666	-0.6258211277	-0.6972666014
NC_004663.1	BT_0012	BT_0012	8983	10149	+	0.4852773713	-0.8189006354	0.6445300053	0.4984856135	0.2934798677	-1.583952941	0.03282363256	-1.056690442	-0.5751839784	-1.084630318	-0.3867581667	-0.2082138087	-0.3475904599	-0.1946426363
