Sequence name	locus tag	Name	Start	End	Strand	L Arabinose logFC	D Maltose monohydrate logFC	Mucin from porcine stomach logFC	N Acetyl D Glucosamine logFC	D Xylose logFC	28°C logFC	42°C logFC	Aerobic shaking logFC	bile salts logFC	deoxycholic acid logFC	Gentamicin logFC	peroxide logFC	pH 6 logFC	Starvation logFC	L Arabinose R1	L Arabinose R2	D Maltose monohydrate R1	D Maltose monohydrate R2	Mucin from porcine stomach R1	Mucin from porcine stomach R2	N Acetyl D Glucosamine R1	N Acetyl D Glucosamine R2	D Xylose R1	D Xylose R2	Glucose R1	Glucose R2	28°C R1	28°C R2	42°C R1	42°C R2	Aerobic shaking R1	Aerobic shaking R2	Bile salts R1	Bile salts R2	Deoxycholic acid R1	Deoxycholic acid R2	Gentamicin R1	Gentamicin R2	Peroxide R1	Peroxide R2	pH 6 R1	pH 6 R2	Starvation R1	Starvation R2	Control for TYG growth R1	Control for TYG growth R2
NC_004663.1	BT_0001	BT_0001	93	710	+	0.9553336798	-0.3847404131	0.997790706	1.564086577	0.5753746027	-3.563994269	0.2590215737	0.2993258448	-4.148434718	-3.983809614	-2.389052925	-0.07460051335	-0.1474446352	2.413742988	7.344336028	6.994249074	2.77694046	2.881557648	6.712432386	8.107432885	11.21487399	10.6700033	5.274289516	5.744962109	3.837778208	3.554182815	1.943866154	2.369616578	28.42368724	32.80958203	29.00278476	33.94286	1.272445726	1.616574943	1.964306361	1.258837689	5.3849088	4.052689606	26.33701254	22.19445335	22.77733264	23.4039551	20.2946854	19.15906185	26.02656206	25.12473775
NC_004663.1	BT_0002	BT_0002	783	1778	+	0.4693324928	-0.4850752516	0.4648695724	1.003842262	0.5570809696	-2.947355849	-1.029051038	0.2771344986	-3.537826713	-3.730335278	-2.675259598	-0.1228463185	-0.2540076738	0.4288019561	3.16085348	3.218592494	1.701995766	1.580209033	3.405572314	2.915831125	4.495830544	4.747896203	3.402767429	3.374663057	2.696817119	1.905866147	1.418496923	1.9387772	5.53669741	7.21603149	15.30523897	16.16621617	1.174565286	1.039226749	1.016020531	0.927564613	1.7949696	2.559593435	11.3620909	12.51621632	11.08983834	10.68583944	2.395900359	3.79119245	12.87772602	13.09317319
NC_004663.1	BT_0003	BT_0003	1872	2648	+	0.04328937948	-0.6101004766	0.8716374939	0.5627601899	-0.05242859135	-3.19683967	-0.1756452138	0.7256977393	-2.499858678	-1.684368574	-0.6218485239	0.7596098494	-0.1712107226	-0.8117581122	0.4648313942	0.5570640856	0.4031042603	0.2323836813	0.8884101688	0.9245318202	0.6422615062	0.8168423575	0.2126729643	0.7231420836	0.3111712061	0.6696286462	0.2101476923	0.1077098444	1.125104286	1.592026132	2.57230907	2.477581022	0.4894022024	0	0.4741429146	0.4637823065	0.9573171199	1.066497265	2.617993294	2.546904483	1.261718135	1.442260539	0.3523382882	0.2030995955	1.491105118	1.557026001
NC_004663.1	BT_0004	BT_0004	2783	3451	+	0.4785325108	-1.017352063	1.313373284	0.6528809547	0.6631519934	-2.980846507	-0.5704890496	-0.2964224731	-2.828016897	-3.782681545	-1.403604071	-0.3039501836	-0.7056247459	-0.4439918054	0.3718651153	0.4332720665	0.2239468113	0.04647673625	0.8884101688	0.4978248263	0.592856775	0.3063158841	0.4678805215	0.4419201622	0.4148949414	0.1545296876	0.2626846154	0.2154196889	1.421184362	1.176714967	1.736308622	1.424609087	0	0.5773481938	0.2709388083	0	0.8376524799	0.4265989059	1.361356513	1.819217488	0.9960932641	1.376703241	0.1409353153	0.2707994607	1.76221514	2.123217274
NC_004663.1	BT_0005	BT_0005	3460	3996	+	2.346949195	1.323256306	2.972163787	1.607766708	2.567249232	-2.932839402	-1.496716966	-0.1117234254	-3.388557891	-4.943431873	-1.843947957	-0.09720364761	-0.06895206863	0.7763600149	0.4183482548	0.4332720665	0.2239468113	0.185906945	0.8390540483	0.4267069939	0.04940473125	0.4594738261	0.5529497073	0.4419201622	0.05186186768	0.1030197917	0.2101476923	0.3769844555	0.5329441357	1.10749644	2.122154983	2.105943868	0.2936413214	0.1154696388	0.1354694042	0	0.47865856	1.066497265	1.78023544	2.546904483	2.324217616	2.032276213	0.1409353153	0.1353997304	2.304435183	2.264765093
NC_004663.1	BT_0006	BT_0006	4088	4534	+	0.04040736085	-0.1740446881	0.5357572517	0.9425034853	0.295114041	-2.730055222	-0.4161758744	0.3560193311	-2.428659527	-5.155970907	-1.600974769	0.4744622644	-0.7555993154	-0.277450054	0.3253819759	0.371376057	0.179157449	0.4182906263	0.5922734458	0.3555891616	0.6916662375	0.6126317681	0.5104151144	0.3213964816	0.3630330738	0.3090593752	0.2101476923	0.2154196889	1.006672256	1.176714967	1.993539529	1.734306715	0.3915217619	0.1154696388	0.06773470209	0	0.41882624	0.6398983588	1.884955172	2.183060986	0.9960932641	0.7211302693	0.1409353153	0.4061991911	1.491105118	1.415478183
NC_004663.1	BT_0008	BT_0008	4958	5503	+	-0.1309272852	-0.4228777218	-0.81313088	-0.09574093051	-0.1862769098	-0.6189830955	-0.03253949534	0.06401282985	1.273108412	-0.876670513	-0.5477999367	0.1146016205	-0.1474257094	0.4287749482	25.28682784	26.98666014	21.9467875	20.72862437	18.70596966	13.72574164	27.96307789	25.57737632	24.32978712	25.95276589	29.0426459	28.17591304	29.26306616	26.81975126	41.45121055	42.77704998	45.20833191	44.84421649	100.6210928	107.6177033	24.38449275	22.52656917	28.77934592	30.28852232	55.97269663	37.12012216	32.0742031	45.69343615	41.15311206	35.88092855	37.819848	48.33857994
NC_004663.1	BT_0009	BT_0009	5632	6741	+	0.4578031417	-0.5801794163	0.6575275808	0.7375300568	0.3350415653	-1.464628834	-0.4296496319	0.06592776358	-0.8172042779	-0.9908041951	-0.7326049134	-0.1660370582	-0.3385865827	-0.6183685081	2.649538947	2.909112447	1.298891505	1.394302088	3.356216193	2.986948958	3.1619028	3.573685314	2.764748536	2.330124492	2.281922178	1.751336459	1.103275385	1.400227978	2.901584739	2.214992879	3.536924971	3.716371532	1.859728369	2.078453498	1.354694042	2.120147687	2.15396352	1.919695076	3.56047088	2.546904483	2.855467357	2.622291888	1.127482522	1.489397034	3.253320258	3.680243275
NC_004663.1	BT_0010	BT_0010	6796	7869	+	0.5244024257	0.01710436548	0.4801912839	0.8159670607	0.3611581297	-1.890530937	-0.5614798858	-0.05723435516	-0.3921991139	-1.019862442	-0.5704082011	-0.2913777567	-0.5726993912	-0.3238061664	3.811617432	3.77565658	2.77694046	2.556220494	4.096558	3.200302455	4.545235275	4.747896203	3.360232837	3.414837617	2.593093384	2.678514585	1.313423077	1.723357511	3.316096844	4.360767231	5.273233594	5.574557299	4.1109785	4.503315912	2.777122786	2.782693839	4.42759168	2.559593435	4.764747796	4.438890671	3.519529533	4.064552427	1.902626756	2.301795416	5.557755441	5.73268664
NC_004663.1	BT_0011	BT_0011	8075	8923	+	0.01518025545	-1.462343657	0.240430615	-0.2945222352	-0.03197827439	-1.612849427	-0.2558988664	-1.074547955	-0.872074638	-1.399583706	0.1116831956	-0.1828799666	-0.6258211277	-0.6972666014	0.7902133701	1.176024181	0.3135255358	0.37181389	0.8390540483	1.493474479	0.7904757	0.7657897102	1.361106972	0.5222692826	0.9853754859	0.9271781255	0.3677584616	0.3231295333	0.769808196	1.038277912	0.6430772675	0.3716371532	0.5872826428	0.5773481938	0.4064082125	0.3975276913	1.1966464	1.066497265	0.942477586	0.9459930937	0.5312497408	0.8522448637	0.5637412611	0.6092987866	1.152217591	0.990834728
NC_004663.1	BT_0012	BT_0012	8983	10149	+	0.4852773713	-0.8189006354	0.6445300053	0.4984856135	0.2934798677	-1.583952941	0.03282363256	-1.056690442	-0.5751839784	-1.084630318	-0.3867581667	-0.2082138087	-0.3475904599	-0.1946426363	2.928437783	2.47584038	1.074944694	1.11544167	3.01072335	3.05806679	2.420831831	3.063158841	2.381937201	2.370299052	1.452132295	2.420965106	1.313423077	0.9155336777	3.61217692	3.253270792	1.929231803	1.300730036	2.202309911	2.309392775	1.151489935	2.00420211	2.57278976	2.559593435	2.460913697	3.420128877	2.722654922	2.556734591	1.691223783	1.69249663	3.185542753	3.538695457
